Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line,Line_no_stopwords
0,1,1,Pilot,1,1,Scene Action:,[Open to Morty's room],open morty room
1,2,1,Pilot,1,1,Rick:,  Morty! You gotta come on. Jus'... you gotta come with me.,morty gotta come jus gotta come
2,3,1,Pilot,1,1,Morty:,"  What, Rick? What's going on?",rick going
3,4,1,Pilot,1,1,Rick:,"I got a surprise for you, Morty.",got surprise morty
4,5,1,Pilot,1,1,Morty:,It's the middle of the night. What are you talking about?,middle night talking
6,7,1,Pilot,1,1,Morty:,Ow! Ow! You're tugging me too hard!,ow ow tugging hard
7,8,1,Pilot,1,1,Rick:,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",gotta go gotta get outta come got surprise morty
8,9,1,Pilot,1,1,Scene Action:, [Cut to Rick's ship],cut rick ship
9,10,1,Pilot,1,1,Rick:,"  What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",think flying vehicle morty built outta stuff found garage
10,11,1,Pilot,1,1,Morty:,"Yeah, Rick... I-it's great. Is this the surprise?",yeah rick i-it great surprise
11,12,1,Pilot,1,1,Rick:,"Morty. I had to... I had to do it. I had-- I had to-- I had to make a bomb, Morty. I had to create a bomb.",morty make bomb morty create bomb
12,13,1,Pilot,1,1,Morty:,What?! A bomb?!,bomb
13,14,1,Pilot,1,1,Rick:,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",gonna drop get whole fresh start morty create whole fresh start
14,15,1,Pilot,1,1,Morty:,T-t-that's absolutely crazy!,t-t-that absolutely crazy
15,16,1,Pilot,1,1,Rick:,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",come morty take easy morty gonna good right gonna go pick little friend jessica
16,17,1,Pilot,1,1,Morty:,Jessica? From my math class?,jessica math class
17,18,1,Pilot,1,1,Rick:,"  When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",drop bomb know want somebody know want thing gonna make like new adam eve gonna adam
18,19,1,Pilot,1,1,Morty:,Ohh...,ohh
19,20,1,Pilot,1,1,Rick:,And Jessica's gonna be Eve.,jessica gonna eve
20,21,1,Pilot,1,1,Morty:,Whhhh-wha?,whhhh-wha
21,22,1,Pilot,1,1,Rick:,"And so that's the surprise, Morty.",surprise morty
22,23,1,Pilot,1,1,Morty:,"No, you can't!   Jessica doesn't even know I exist! But--but, but forget about that, because you can't blow up humanity!",ca jessica even know exist forget ca blow humanity
23,24,1,Pilot,1,1,Rick:,"I-I get what you're trying to say, Morty. Listen, I'm not...   You don't got... Y-you don't gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.",i-i get trying say morty listen got y-you gotta worry trying fool around jessica mess around jessica anything kind guy morty
