word,char_count,corpus_count,term_freq,inv_doc_freq,tfidf
0,jerry,66,149,0.03400309119010819,179.11409395973155,0.17640881913861872
1,dad,36,124,0.01854714064914992,215.2258064516129,0.09962944802881181
2,oh,34,451,0.01751674394641937,59.175166297117514,0.0714771081052535
3,know,24,417,0.012364760432766615,64.0,0.05142359299362809
4,like,22,268,0.011334363730036065,99.58208955223881,0.05214920718302296
5,okay,21,175,0.010819165378670788,152.50285714285715,0.054389927849528154
6,want,20,136,0.010303967027305513,196.23529411764707,0.05439788170450718
7,morty,18,697,0.00927357032457496,38.28981348637016,0.03380386919070741
8,go,16,211,0.00824317362184441,126.48341232227489,0.039897876737206864
9,get,16,262,0.00824317362184441,101.86259541984732,0.03811334200018445
10,well,14,186,0.0072127769191138585,143.48387096774192,0.03582025597126935
11,back,13,117,0.006697578567748583,228.10256410256412,0.03636648109978843
12,gonna,13,237,0.006697578567748583,112.60759493670886,0.03163875277295387
13,uh,12,138,0.0061823802163833074,193.3913043478261,0.03254847369398002
14,summer,12,139,0.0061823802163833074,192.0,0.032503835375751355
15,mean,12,117,0.0061823802163833074,228.10256410256412,0.033569059476727774
16,leave,12,32,0.0061823802163833074,834.0,0.0415841323175193
17,father,11,31,0.005667181865018032,860.9032258064516,0.03829871360505235
18,time,11,148,0.005667181865018032,180.32432432432432,0.029439632841493018
19,think,11,144,0.005667181865018032,185.33333333333334,0.029594907811132
20,stop,11,62,0.005667181865018032,430.4516129032258,0.03437052247359464
21,family,11,59,0.005667181865018032,452.33898305084745,0.03465159735898006
22,let,10,124,0.005151983513652756,215.2258064516129,0.027674846674669948
23,god,10,148,0.005151983513652756,180.32432432432432,0.02676330258317547
24,love,10,72,0.005151983513652756,370.6666666666667,0.030475544493263357
25,say,10,83,0.005151983513652756,321.5421686746988,0.029743063871003995
26,never,10,59,0.005151983513652756,452.33898305084745,0.03150145214452733
27,life,9,60,0.00463678516228748,444.8,0.028273375933244384
28,yeah,9,246,0.00463678516228748,108.48780487804878,0.021730932469363726
29,us,9,105,0.00463678516228748,254.17142857142858,0.025678557751163598
30,could,9,104,0.00463678516228748,256.61538461538464,0.025722929239646523
31,make,9,84,0.00463678516228748,317.7142857142857,0.026713226458957462
32,yes,9,66,0.00463678516228748,404.3636363636364,0.027831443105712738
33,going,9,99,0.00463678516228748,269.57575757575756,0.025951388508611513
34,good,9,102,0.00463678516228748,261.6470588235294,0.025812966732028757
35,work,9,42,0.00463678516228748,635.4285714285714,0.029927201021059217
36,please,8,44,0.004121586810922205,606.5454545454545,0.026410220180279085
37,look,8,119,0.004121586810922205,224.2689075630252,0.02230951390848818
38,ca,8,88,0.004121586810922205,303.27272727272725,0.0235533539028553
39,got,8,205,0.004121586810922205,130.18536585365854,0.02006783854104097
40,kids,8,28,0.004121586810922205,953.1428571428571,0.02827311610503151
41,hey,7,168,0.0036063884595569293,158.85714285714286,0.01827719591977666
42,school,7,37,0.0036063884595569293,721.2972972972973,0.023733827793714447
43,surgeon,7,11,0.0036063884595569293,2426.181818181818,0.028108458643235815
44,one,7,151,0.0036063884595569293,176.74172185430464,0.018661940380424957
45,people,7,75,0.0036063884595569293,355.84,0.021185661175350406
46,even,7,52,0.0036063884595569293,513.2307692307693,0.022506480734693107
47,would,7,97,0.0036063884595569293,275.1340206185567,0.020258015603598984
48,help,7,70,0.0036063884595569293,381.25714285714287,0.021434476270872645
49,deer,7,13,0.0036063884595569293,2052.923076923077,0.027505996720184726
50,home,6,53,0.0030911901081916537,503.54716981132077,0.019232387609293203
51,see,6,85,0.0030911901081916537,313.9764705882353,0.01777223508089075
52,hell,6,62,0.0030911901081916537,430.4516129032258,0.018747557712869803
53,um,6,50,0.0030911901081916537,533.76,0.019412507881701166
54,alive,6,17,0.0030911901081916537,1569.8823529411766,0.022747313635555665
55,enough,6,25,0.0030911901081916537,1067.52,0.021555157589769003
56,take,6,110,0.0030911901081916537,242.61818181818182,0.016975236288612233
57,guys,6,88,0.0030911901081916537,303.27272727272725,0.017665015427141474
58,need,6,70,0.0030911901081916537,381.25714285714287,0.018372408232176552
59,better,6,27,0.0030911901081916537,988.4444444444445,0.02131725638069287
60,thank,6,33,0.0030911901081916537,808.7272727272727,0.020696945111876332
61,stay,6,23,0.0030911901081916537,1160.3478260869565,0.0218129059945265
62,tell,5,52,0.002575991756826378,513.2307692307693,0.016076057667637932
63,stuff,5,46,0.002575991756826378,580.1739130434783,0.016391880238715555
64,fine,5,42,0.002575991756826378,635.4285714285714,0.016626222789477344
65,maybe,5,53,0.002575991756826378,503.54716981132077,0.016026989674411005
66,daughter,5,16,0.002575991756826378,1668.0,0.01911226322235624
67,come,5,131,0.002575991756826378,203.72519083969465,0.013695960798447506
68,sorry,5,45,0.002575991756826378,593.0666666666667,0.016448497721247176
69,put,5,66,0.002575991756826378,404.3636363636364,0.015461912836507078
70,anything,5,45,0.002575991756826378,593.0666666666667,0.016448497721247176
71,horse,5,10,0.002575991756826378,2668.8,0.020322988696971737
72,real,5,70,0.002575991756826378,381.25714285714287,0.01531034019348046
73,really,5,116,0.002575991756826378,230.06896551724137,0.014009219768294973
74,ever,5,34,0.002575991756826378,784.9411764705883,0.017170553272906522
75,supposed,5,20,0.002575991756826378,1334.4,0.01853744727358187
76,getting,4,33,0.0020607934054611026,808.7272727272727,0.013797963407917556
77,job,4,33,0.0020607934054611026,808.7272727272727,0.013797963407917556
78,davin,4,13,0.0020607934054611026,2052.923076923077,0.01571771241153413
79,way,4,60,0.0020607934054611026,444.8,0.012565944859219727
80,first,4,44,0.0020607934054611026,606.5454545454545,0.013205110090139542
81,needs,4,12,0.0020607934054611026,2224.0,0.015882663895663007
82,holy,4,26,0.0020607934054611026,1026.4615384615386,0.014289279272822239
83,crap,4,41,0.0020607934054611026,650.9268292682926,0.013350638306963761
84,bitch,4,25,0.0020607934054611026,1067.52,0.014370105059846004
85,thing,4,98,0.0020607934054611026,272.3265306122449,0.011554872388434625
86,saying,4,35,0.0020607934054611026,762.5142857142857,0.01367670529349626
87,somewhere,4,16,0.0020607934054611026,1668.0,0.015289810577884992
88,happy,4,17,0.0020607934054611026,1569.8823529411766,0.015164875757037111
89,run,4,26,0.0020607934054611026,1026.4615384615386,0.014289279272822239
90,bend,4,4,0.0020607934054611026,6672.0,0.018146676855308776
91,two,4,45,0.0020607934054611026,593.0666666666667,0.01315879817699774
92,nobody,4,20,0.0020607934054611026,1334.4,0.014829957818865497
93,wants,4,22,0.0020607934054611026,1213.090909090909,0.014633543228851433
94,nice,4,36,0.0020607934054611026,741.3333333333334,0.013618650936017235
95,whole,4,50,0.0020607934054611026,533.76,0.012941671921134112
96,sure,4,47,0.0020607934054611026,567.8297872340426,0.01306918434507659
97,together,4,23,0.0020607934054611026,1160.3478260869565,0.014541937329684335
98,something,4,87,0.0020607934054611026,306.7586206896552,0.011800229132413992
99,wait,4,80,0.0020607934054611026,333.6,0.011973091541441714
