Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line
0,1,1,Pilot,1,1,Scene Action:,[Open to Morty’s room]
1,2,1,Pilot,1,1, Rick:,"(stumbles in drunkenly, and turns on the lights) Morty! You gotta come on. Jus'... you gotta come with me."
2,3,1,Pilot,1,1, Morty:,"(rubs his eyes) What, Rick? What’s going on?"
3,4,1,Pilot,1,1, Rick:,"I got a surprise for you, Morty."
4,5,1,Pilot,1,1, Morty:,It's the middle of the night. What are you talking about?
5,6,1,Pilot,1,1, Rick:,"(spills alcohol on Morty's bed) Come on, I got a surprise for you. (drags Morty by the ankle) Come on, hurry up. (pulls Morty out of his bed and into the hall)"
6,7,1,Pilot,1,1, Morty:,Ow! Ow! You're tugging me too hard!
7,8,1,Pilot,1,1, Rick:,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
8,9,1,Pilot,1,1,Scene Action:, [Cut to Rick's ship]
9,10,1,Pilot,1,1, Rick:,"(Rick drives through the night sky) What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."
10,11,1,Pilot,1,1, Morty:,"Yeah, Rick... I-it's great. Is this the surprise?"
11,12,1,Pilot,1,1, Rick:,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb."
12,13,1,Pilot,1,1, Morty:,What?! A bomb?!
13,14,1,Pilot,1,1, Rick:,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
14,15,1,Pilot,1,1, Morty:,T-t-that's absolutely crazy!
15,16,1,Pilot,1,1, Rick:,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
16,17,1,Pilot,1,1, Morty:,Jessica? From my math class?
17,18,1,Pilot,1,1, Rick:,"(puts an arm around Morty’s shoulders) When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
18,19,1,Pilot,1,1, Morty:,Ohh...
19,20,1,Pilot,1,1, Rick:,And Jessica's gonna be Eve.
20,21,1,Pilot,1,1, Morty:,Whhhh-wha?
