Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line,Line_no_stopwords
46,47,1,Pilot,1,1,Beth:,"Morty, are you getting sick? ",morty getting sick
52,53,1,Pilot,1,1,Beth:,Dad?,dad
55,56,1,Pilot,1,1,Beth:,Jerry!,jerry
61,62,1,Pilot,1,1,Beth:,"  Oh, dad...",oh dad
111,112,1,Pilot,1,1,Beth:,  Scalpel.,scalpel
114,115,1,Pilot,1,1,Beth:,Jerry?,jerry
118,119,1,Pilot,1,1,Beth:,"Jerry, please tell me you're here for an incredibly urgent reason.",jerry please tell incredibly urgent reason
122,123,1,Pilot,1,1,Beth:,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery.",okay ask jerry know job involves performing heart surgery
124,125,1,Pilot,1,1,Beth:,Excuse me?,excuse
128,129,1,Pilot,1,1,Beth:,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!",hey tom know losing hear beeps
153,154,1,Pilot,1,1,Beth:,"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?",putting father home came back life want grab stuff mattress like last month victoria secret
156,157,1,Pilot,1,1,Beth:,"It's fine, Davin.",fine davin
159,160,1,Pilot,1,1,Beth:,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend.  ",look appreciate stress morty trouble school way dad moved influence see rick first time life morty friend
161,162,1,Pilot,1,1,Beth:,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",uh yeah maybe father daughter smart think heart surgeon
194,195,1,Pilot,1,1,Beth:,What? Why didn't you notify us?,notify us
198,199,1,Pilot,1,1,Beth:,Summer?,summer
246,247,1,Pilot,1,1,Beth:,"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's.",dad could make son miss entire semester school mean like hot girl ca bail life set shop someone else
248,249,1,Pilot,1,1,Beth:,We're moving you to a nursing home.,moving nursing home
251,252,1,Pilot,1,1,Beth:,What does that mean?,mean
256,257,1,Pilot,1,1,Beth:,"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes.",oh high-road us dad know fully well morty last child needs missing classes
266,267,1,Pilot,1,1,Beth:,What the hell?,hell
272,273,1,Pilot,1,1,Beth:,"Jerry, I don't want whatever's happening here to stop.",jerry want whatever happening stop
278,279,1,Pilot,1,1,Beth:,You know what? Okay.  ,know okay
379,380,1,Lawnmower_Dog,2,2,Beth :,"Oh, yeah. This should play out just fine.",oh yeah play fine
503,504,1,Lawnmower_Dog,2,2,Beth :,"G-Go on, um, one of our famous midnight family walks!",g-go um one famous midnight family walks
635,636,1,Lawnmower_Dog,2,2,Beth:,Jerry?,jerry
637,638,1,Lawnmower_Dog,2,2,Beth:,"Oh, Jerry. You mean because it had dogs in it.",oh jerry mean dogs
653,654,1,Anatomy_Park_(episode),3,3,Beth:,Alive? For your parents? ,alive parents
656,657,1,Anatomy_Park_(episode),3,3,Beth:,Hey man! ,hey man
670,671,1,Anatomy_Park_(episode),3,3,Beth:,"Aw, Dad... That is so sweet. ",aw dad sweet
687,688,1,Anatomy_Park_(episode),3,3,Beth:,"Holy crap, Joyce. That's amazing. ",holy crap joyce amazing
710,711,1,Anatomy_Park_(episode),3,3,Beth:,"Hey Dad, where's Morty? ",hey dad morty
772,773,1,Anatomy_Park_(episode),3,3,Beth:,"Whatever it is, it's beautiful Leonard.   And we support you. ",whatever beautiful leonard support
889,890,1,Anatomy_Park_(episode),3,3,Beth:,"Jerry, come on. This is what you wanted. ",jerry come wanted
891,892,1,Anatomy_Park_(episode),3,3,Beth:,"What? Jerry, let that stuff go, okay? I'm sorry I was a bitch earlier. Let's just be here. ",jerry let stuff go okay sorry bitch earlier let
1038,1039,1,Anatomy_Park_(episode),3,3,Beth:,Jerry doesn't know what he's missing. ,jerry know missing
1040,1041,1,Anatomy_Park_(episode),3,3,Beth:,"I dunno, Jacob. Jerry got an invitation to be alive today, and he rejected it. I don't know if our marriage will-- ",dunno jacob jerry got invitation alive today rejected know marriage
1044,1045,1,Anatomy_Park_(episode),3,3,Beth:,Oh god. ,oh god
1047,1048,1,Anatomy_Park_(episode),3,3,Beth:,Jerry! ,jerry
1215,1216,1,M._Night_Shaym-Aliens!,4,4,Simulation Beth:,  Hello. ,hello
1217,1218,1,M._Night_Shaym-Aliens!,4,4,Simulation Beth:,Who just sold the apples campaign? ,sold apples campaign
1219,1220,1,M._Night_Shaym-Aliens!,4,4,Simulation Beth:,Yes. ,yes
1221,1222,1,M._Night_Shaym-Aliens!,4,4,Simulation Beth:,Okay. ,okay
1223,1224,1,M._Night_Shaym-Aliens!,4,4,Simulation Beth:,Yes. ,yes
1396,1397,1,Meeseeks_and_Destroy,5,5,Beth:,"Morty, please. I love you, sweetheart. ",morty please love sweetheart
1418,1419,1,Meeseeks_and_Destroy,5,5,Beth:,"Dad, the dishwasher's doing that thing again. ",dad dishwasher thing
1420,1421,1,Meeseeks_and_Destroy,5,5,Beth:,No. The opposite. Can you fix it? ,opposite fix
