Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line,Line_no_stopwords
44,45,1,Pilot,1,1,Jerry:,I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?  ,see new episode singing show tonight guys think gonna best singer
54,55,1,Pilot,1,1,Jerry:,Damn it!,damn
56,57,1,Pilot,1,1,Jerry:,Beth!,beth
59,60,1,Pilot,1,1,Jerry:,"  Okay, with all due respect, Rick-- what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?",okay due respect rick talking respect due son supposed pass classes keep dragging high-concept sci-fi rigamarole
62,63,1,Pilot,1,1,Jerry:,What? For real?  ,real
113,114,1,Pilot,1,1,Jerry:,"Knock, knock.",knock knock
115,116,1,Pilot,1,1,Jerry:,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?""  ",manager gave hour lunch thought `` hey swing wife works
119,120,1,Pilot,1,1,Jerry:,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia.  ",well lunch mean one three meals existed millennia
123,124,1,Pilot,1,1,Jerry:,"Well, yeah, on horses.",well yeah horses
125,126,1,Pilot,1,1,Jerry:,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way.  ",okay let rehash fight sense busy way
126,127,1,Pilot,1,1,Jerry:,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home.  ",whoa floor kind literature really nice-looking nursing home hey honey crazy idea bad pitch let put dad let put dad nursing home
154,155,1,Pilot,1,1,Jerry:,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son.",told ordering something valentine day importantly father horrible influence son
158,159,1,Pilot,1,1,Jerry:,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.",since fighting ever affair guy come hotel room blow brains naked bodies
160,161,1,Pilot,1,1,Jerry:,"  Well, maybe you're right.",well maybe right
196,197,1,Pilot,1,1,Jerry:,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?",boom told face ruining child wait celebrating
239,240,1,Pilot,1,1,Jerry:,"Oh, look, honey. It's our son with Albert Ein-douche.",oh look honey son albert ein-douche
241,242,1,Pilot,1,1,Jerry:,"I'm an angry father, not an improviser.",angry father improviser
244,245,1,Pilot,1,1,Jerry:,You're beyond our reasoning!,beyond reasoning
250,251,1,Pilot,1,1,Jerry:,"Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas.",well build baskets watch paul newman movies vhs mentally scar boy scouts every christmas
252,253,1,Pilot,1,1,Jerry:,It's personal.,personal
254,255,1,Pilot,1,1,Jerry:,"Morty, stay out of this. You are obviously not capable of judging these situations on your own.",morty stay obviously capable judging situations
258,259,1,Pilot,1,1,Jerry:,"Oh, for crying out--he's got some kind of disability or something. Is that what you want us to say?",oh crying got kind disability something want us say
260,261,1,Pilot,1,1,Jerry:,"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.",well duh doy son look love morty know fast kids want compete world got work twice hard
267,268,1,Pilot,1,1,Jerry:,  Holy crap. He's right.,holy crap right
273,274,1,Pilot,1,1,Jerry:,"No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school.",i-i understand uh maybe overreacted keep going school
277,278,1,Pilot,1,1,Jerry:,"Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you.",okay well uh morty bedtime hour stay night good though work think family beth would love
292,293,1,Lawnmower_Dog,2,2,Jerry:,What? Why are you looking at me? You want to go outside? Outside?  ,looking want go outside outside
294,295,1,Lawnmower_Dog,2,2,Jerry:,Outside?,outside
296,297,1,Lawnmower_Dog,2,2,Jerry:,Are you kidding me?! Come on!,kidding come
300,301,1,Lawnmower_Dog,2,2,Jerry:,Your idiot dog!,idiot dog
302,303,1,Lawnmower_Dog,2,2,Jerry:,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!",praise morty peed carpet bad dog bad
305,306,1,Lawnmower_Dog,2,2,Jerry:,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?",hey wait hold second rick would chance sort crazy science thing could whip might help make dog little smarter would
307,308,1,Lawnmower_Dog,2,2,Jerry:,"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!",listen rick gonna stay rent-free use son stupid science least could put little bit use family make dog smart morty grounded
320,321,1,Lawnmower_Dog,2,2,Jerry:,Holy crap!,holy crap
374,375,1,Lawnmower_Dog,2,2,Jerry:,Now bring me my slippers.,bring slippers
378,379,1,Lawnmower_Dog,2,2,Jerry:,This is what I'm talking about. This is a dog.,talking dog
380,381,1,Lawnmower_Dog,2,2,Jerry:,"You said the same thing, equally sarcastically, at our wedding and guess what?",said thing equally sarcastically wedding guess
385,386,1,Lawnmower_Dog,2,2,Jerry:,"Aw, he's saying ""I love lasagna"".",aw saying `` love lasagna
388,389,1,Lawnmower_Dog,2,2,Jerry:,I should call Bob Saget. Is that still a thing?,call bob saget still thing
461,462,1,Lawnmower_Dog,2,2,Jerry:,"Whoa! Hey, buddy. What you got going on there?",whoa hey buddy got going
466,467,1,Lawnmower_Dog,2,2,Jerry:,"Okay, yeah. I get what Beth was talking about. Fun's over.",okay yeah get beth talking fun
500,501,1,Lawnmower_Dog,2,2,Jerry:,"Hey. Oh, wow. Okay, is is is everything okay in here?",hey oh wow okay everything okay
502,503,1,Lawnmower_Dog,2,2,Jerry :,"No! No, we were uh, just seeing if Summer wanted to uh ...",uh seeing summer wanted uh
528,529,1,Lawnmower_Dog,2,2,Jerry:,"Snuffles, we didn't mean you any harm! This is a huge misunderstanding.",snuffles mean harm huge misunderstanding
530,531,1,Lawnmower_Dog,2,2,Jerry:,"Well, I'm not calling him that. That's ridiculous.",well calling ridiculous
533,534,1,Lawnmower_Dog,2,2,Jerry:,Huh! You think you can control me with a haircut?,huh think control haircut
584,585,1,Lawnmower_Dog,2,2,Jerry:,I can't believe how mean snuffles got just because he's smart.,ca believe mean snuffles got smart
591,592,1,Lawnmower_Dog,2,2,Jerry:,"Whoa, whoa, whoa. We're not going anywhere. This is my house. I'm not abandoning it.",whoa whoa whoa going anywhere house abandoning
595,596,1,Lawnmower_Dog,2,2,Jerry:,"Wait a minute. I have an idea. Gentlemen, a moment of your time.   See that? I'm peeing all over your special guns. That means I own them.",wait minute idea gentlemen moment time see peeing special guns means
636,637,1,Lawnmower_Dog,2,2,Jerry:,"I'm sorry. It's just like the end of ""Old Yeller.",sorry like end `` old yeller
647,648,1,Anatomy_Park_(episode),3,3,Jerry:,  Last King Christmas last arrived! ,last king christmas last arrived
650,651,1,Anatomy_Park_(episode),3,3,Jerry:,"  Mmm... Jerry, you are really giving it to this ham. ",mmm jerry really giving ham
652,653,1,Anatomy_Park_(episode),3,3,Jerry:,"Um, Merry Christmas?   Helloooo? My parents are coming over for the first time in years! Can we stow the gadgets and look alive? ",um merry christmas helloooo parents coming first time years stow gadgets look alive
655,656,1,Anatomy_Park_(episode),3,3,Jerry:,Good one. ,good one
657,658,1,Anatomy_Park_(episode),3,3,Jerry:,You 'hey man'! This holiday is about humanity. ,man holiday humanity
659,660,1,Anatomy_Park_(episode),3,3,Jerry:,"Okay, whatever. All electronic items are going in the stocking. Now. ",okay whatever electronic items going stocking
662,663,1,Anatomy_Park_(episode),3,3,Jerry:,"Put it in the stocking, Summer, or I'm joining Facebook. ",put stocking summer joining facebook
666,667,1,Anatomy_Park_(episode),3,3,Jerry:,More like whoa whoa whoa. What is this? My parents are coming! ,like whoa whoa whoa parents coming
671,672,1,Anatomy_Park_(episode),3,3,Jerry:,"  Yeah, it is... I don't get it. ",yeah get
675,676,1,Anatomy_Park_(episode),3,3,Jerry:,Huh. You think you know a guy.   Hey hey! ,huh think know guy hey hey
679,680,1,Anatomy_Park_(episode),3,3,Jerry:,"Oh, hi. Can I help you? ",oh hi help
683,684,1,Anatomy_Park_(episode),3,3,Jerry:,  So... you're a...friend of the family...? ,friend family
685,686,1,Anatomy_Park_(episode),3,3,Jerry:,Wow! ,wow
692,693,1,Anatomy_Park_(episode),3,3,Jerry:,...Cool... Eggnog? ,cool eggnog
768,769,1,Anatomy_Park_(episode),3,3,Jerry:,"Aha... I'm sorry Jacob, I guess I'm still confused about the precise nature and origin of your relationship with my parents. Are you like a--Are you like their caretaker? Is that what it is? ",aha sorry jacob guess still confused precise nature origin relationship parents like like caretaker
771,772,1,Anatomy_Park_(episode),3,3,Jerry:,"Dad, please, what are you saying? ",dad please saying
773,774,1,Anatomy_Park_(episode),3,3,Jerry:,"Speak for yourself! Because it, heheh, it sounds like you're about to say Jacob is your lover. ",speak heheh sounds like say jacob lover
890,891,1,Anatomy_Park_(episode),3,3,Jerry:,"I get it, Beth. Be careful what you wish for. I'm being punished for taking your iPad. ",get beth careful wish punished taking ipad
899,900,1,Anatomy_Park_(episode),3,3,Jerry:,"  Summer, do you have a boyfriend? ",summer boyfriend
946,947,1,Anatomy_Park_(episode),3,3,Jerry:,Um... ,um
949,950,1,Anatomy_Park_(episode),3,3,Jerry:,No! Stop! I hate this! ,stop hate
952,953,1,Anatomy_Park_(episode),3,3,Jerry:,"Well then, I hate Christmas! Enjoy being human! You guys are gross and lame. ",well hate christmas enjoy human guys gross lame
966,967,1,Anatomy_Park_(episode),3,3,Jerry:,"Ah, Rick? ",ah rick
968,969,1,Anatomy_Park_(episode),3,3,Jerry:,"  Right now, you're my sanest relative. ",right sanest relative
983,984,1,Anatomy_Park_(episode),3,3,Jerry:,"Well, I can see that you're busy... Merry Christmas, Rick. ",well see busy merry christmas rick
1048,1049,1,Anatomy_Park_(episode),3,3,Jerry:,  It's alright! The TV says there's nothing to worry about. ,alright tv says nothing worry
1052,1053,1,Anatomy_Park_(episode),3,3,Jerry:,"Sure, sweetie.   Everybody, take a device. It'll help you relax. ",sure sweetie everybody take device help relax
