Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line,Line_no_stopwords
45,46,1,Pilot,1,1,Summer:,"Oh my God, his head is in his food. I'm going to puke.",oh god head food going puke
50,51,1,Pilot,1,1,Summer:,Or maybe you were out all night again with Grandpa Rick.,maybe night grandpa rick
57,58,1,Pilot,1,1,Summer:,"Oh my god, my parents are so loud, I want to die.",oh god parents loud want die
107,108,1,Pilot,1,1,Summer :,"Oh, my God. I'm about to walk past Frank Palicky. This is the story we'll be telling our children.  ",oh god walk past frank palicky story telling children
108,109,1,Pilot,1,1,Summer:,"Hi, Frank.  ",hi frank
109,110,1,Pilot,1,1,Summer:,AAAAAAAAAAAHHHHH!!!!!!!,aaaaaaaaaaahhhhh
199,200,1,Pilot,1,1,Summer:,  What kind of God lets this happen?,kind god lets happen
275,276,1,Pilot,1,1,Summer:,  Frank Palicky was frozen to death today!,frank palicky frozen death today
297,298,1,Lawnmower_Dog,2,2,Summer:,"Oh, my God.",oh god
308,309,1,Lawnmower_Dog,2,2,Summer:,Ha-ha!,ha-ha
321,322,1,Lawnmower_Dog,2,2,Summer:,No way.,way
376,377,1,Lawnmower_Dog,2,2,Summer:,"Now, be my footstool, Snuffles.",footstool snuffles
383,384,1,Lawnmower_Dog,2,2,Summer:,"Oh, my God! He's trying to tell us something.   That is so awesome.",oh god trying tell us something awesome
387,388,1,Lawnmower_Dog,2,2,Summer:,"He's saying ""I love Obama"".   online, like, right now.",saying `` love obama online like right
435,436,1,Lawnmower_Dog,2,2,Summer:,"Hey, there, stranger. What do you think of these things?",hey stranger think things
442,443,1,Lawnmower_Dog,2,2,Summer:,"Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.",blame come old man little boy let make inter-generational sandwich
464,465,1,Lawnmower_Dog,2,2,Summer:,Humans understand snuffles now? That is awesome!,humans understand snuffles awesome
467,468,1,Lawnmower_Dog,2,2,Summer:,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.",whoa dad ca like endow creature sentience rip away
469,470,1,Lawnmower_Dog,2,2,Summer:,I don't know. It's Indian giving.,know indian giving
472,473,1,Lawnmower_Dog,2,2,Summer:,"Aw! Oh, my God! He recognizes the other dogs on TV.",aw oh god recognizes dogs tv
489,490,1,Lawnmower_Dog,2,2,Summer :,"Oh, wow. That's an intense line of questioning, Snuffles.",oh wow intense line questioning snuffles
493,494,1,Lawnmower_Dog,2,2,Summer:,"Okay, Snowball, just calm down, okay? You're scaring me.",okay snowball calm okay scaring
496,497,1,Lawnmower_Dog,2,2,Summer:,AAAAAAAHHH!!!!!,aaaaaaahhh
498,499,1,Lawnmower_Dog,2,2,Summer:,Uhhh ...,uhhh
504,505,1,Lawnmower_Dog,2,2,Summer:,Yeah. Totally. Let's go.,yeah totally let go
529,530,1,Lawnmower_Dog,2,2,Summer:,"Dad, he wants to be called snowball.",dad wants called snowball
585,586,1,Lawnmower_Dog,2,2,Summer:,This is why I choose to get C's.,choose get c
661,662,1,Anatomy_Park_(episode),3,3,Summer:,"Dad, I'm not giving you my phone. ",dad giving phone
779,780,1,Anatomy_Park_(episode),3,3,Summer:,"  Happy human holiday, Dad. ",happy human holiday dad
885,886,1,Anatomy_Park_(episode),3,3,Summer:,"  Drummer, drum, drum, drum! Drummer, drum, drum drum drum, Christmas drums! ",drummer drum drum drum drummer drum drum drum drum christmas drums
887,888,1,Anatomy_Park_(episode),3,3,Summer:,Christmas drums being played by a boy! ,christmas drums played boy
894,895,1,Anatomy_Park_(episode),3,3,Summer:,"  Ethan, what are you doing here? ",ethan
896,897,1,Anatomy_Park_(episode),3,3,Summer:,I don't have my phone! I'm doing a human holiday! ,phone human holiday
898,899,1,Anatomy_Park_(episode),3,3,Summer:,How you feel? Why is everything always happening to you?! ,feel everything always happening
901,902,1,Anatomy_Park_(episode),3,3,Summer:,"I don't know Ethan, do I? ",know ethan
943,944,1,Anatomy_Park_(episode),3,3,Summer:,"Oh my god, I'm so sorry Ethan!   I love you! ",oh god sorry ethan love
1042,1043,1,Anatomy_Park_(episode),3,3,Summer:,It's raining blood! ,raining blood
1051,1052,1,Anatomy_Park_(episode),3,3,Summer:,"Dad, can I have my phone back? ",dad phone back
1055,1056,1,Anatomy_Park_(episode),3,3,Summer:,"No we didn't, Dad. No we didn't. ",dad
1421,1422,1,Meeseeks_and_Destroy,5,5,Summer:,"Grandpa Rick, can you help me with my science homework? ",grandpa rick help science homework
1423,1424,1,Meeseeks_and_Destroy,5,5,Summer:,Grandpa! ,grandpa
1439,1440,1,Meeseeks_and_Destroy,5,5,Summer:,"Oh, my God, he exploded! ",oh god exploded
1444,1445,1,Meeseeks_and_Destroy,5,5,Summer:,My mind is racing. ,mind racing
1448,1449,1,Meeseeks_and_Destroy,5,5,Summer:,I want to be popular at school!  ,want popular school
1522,1523,1,Meeseeks_and_Destroy,5,5,Summer:,"Like, letting go of the need to be popular is what makes people like you. ",like letting go need popular makes people like
1535,1536,1,Meeseeks_and_Destroy,5,5,Summer:,"Dad, mom is a beautiful woman! Look at her! You will lose her!  ",dad mom beautiful woman look lose
1777,1777,1,Rick_Potion_9,6,6,Summer:,"Yeah, dad, digging around the insides of horses, It's not a very romantic setting,",yeah dad digging around insides horses romantic setting
1779,1779,1,Rick_Potion_9,6,6,Summer:,"Grandpa, so gross! You're talking about my mom,",grandpa gross talking mom
1782,1782,1,Rick_Potion_9,6,6,Summer:,"Careful, dad, Jealousy turns women off,",careful dad jealousy turns women
1786,1786,1,Rick_Potion_9,6,6,Summer:,"God, grandpa, you're such a dick,",god grandpa dick
1788,1788,1,Rick_Potion_9,6,6,Summer:,"Screw that, I don't want to get sick, It's flu season,",screw want get sick flu season
1790,1790,1,Rick_Potion_9,6,6,Summer:,"Yeah,",yeah
1825,1825,1,Rick_Potion_9,6,6,Summer:,"  Come on,",come
1827,1827,1,Rick_Potion_9,6,6,Summer:,What the hell?,hell
1876,1876,1,Rick_Potion_9,6,6,Summer:,Mom! Dad!,mom dad
1880,1880,1,Rick_Potion_9,6,6,Summer:,"I don't know, Do you think grandpa Rick had something to do with this?",know think grandpa rick something
1884,1884,1,Rick_Potion_9,6,6,Summer:,"Tchoo, Tchoo-tchoo-tchoo, Tchoo-tchoo,",tchoo tchoo-tchoo-tchoo tchoo-tchoo
1909,1909,1,Rick_Potion_9,6,6,Summer:,"You know, the thing about a shark... he's got lifeless eyes... black eyes, like a doll's eyes, When he comes at ya, he doesn't seem to be living until he bites ya, and then the -- the blood, and the red, and the water...",know thing shark got lifeless eyes black eyes like doll eyes comes ya seem living bites ya blood red water
1928,1928,1,Raising_Gazorpazorp,7,7,Summer:,"So, we're just going to pretend this isn't happening? I'm not saying that's a bad idea -- just asking,",going pretend happening saying bad idea asking
1934,1934,1,Raising_Gazorpazorp,7,7,Summer:,"Jesus, Did I really set the bar that low?",jesus really set bar low
1965,1965,1,Raising_Gazorpazorp,7,7,Summer:,Whatcha doin'?,whatcha doin
1967,1967,1,Raising_Gazorpazorp,7,7,Summer:,Don't you need a new companion now that Morty's in the family way?,need new companion morty family way
1969,1969,1,Raising_Gazorpazorp,7,7,Summer:,"Oh, right -- because there's something about having a wiener that would make me better at walking through a hole? Aaaaaaaaaaaaah!",oh right something wiener would make better walking hole aaaaaaaaaaaaah
1971,1971,1,Raising_Gazorpazorp,7,7,Summer:,Grandpa Rick! Ugh! Help! Help! Aah! Aah!  ,grandpa rick ugh help help aah aah
