Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line,Line_no_stopwords
1,2,1,Pilot,1,1,Rick:,  Morty! You gotta come on. Jus'... you gotta come with me.,morty gotta come jus gotta come
3,4,1,Pilot,1,1,Rick:,"I got a surprise for you, Morty.",got surprise morty
7,8,1,Pilot,1,1,Rick:,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",gotta go gotta get outta come got surprise morty
9,10,1,Pilot,1,1,Rick:,"  What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",think flying vehicle morty built outta stuff found garage
11,12,1,Pilot,1,1,Rick:,"Morty. I had to... I had to do it. I had-- I had to-- I had to make a bomb, Morty. I had to create a bomb.",morty make bomb morty create bomb
13,14,1,Pilot,1,1,Rick:,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",gonna drop get whole fresh start morty create whole fresh start
15,16,1,Pilot,1,1,Rick:,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",come morty take easy morty gonna good right gonna go pick little friend jessica
17,18,1,Pilot,1,1,Rick:,"  When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",drop bomb know want somebody know want thing gonna make like new adam eve gonna adam
19,20,1,Pilot,1,1,Rick:,And Jessica's gonna be Eve.,jessica gonna eve
21,22,1,Pilot,1,1,Rick:,"And so that's the surprise, Morty.",surprise morty
23,24,1,Pilot,1,1,Rick:,"I-I get what you're trying to say, Morty. Listen, I'm not...   You don't got... Y-you don't gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.",i-i get trying say morty listen got y-you gotta worry trying fool around jessica mess around jessica anything kind guy morty
25,26,1,Pilot,1,1,Rick:,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she-- she, she, she's all for you, Morty.",you-you worry getting jessica anything sh-sh-she morty
27,28,1,Pilot,1,1,Rick:,"You know what, Morty? You're right.  ",know morty right
30,31,1,Pilot,1,1,Rick:,"Get off of me, Morty!  ",get morty
33,34,1,Pilot,1,1,Rick:,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I'll land the thing. Big tough guy all of a sudden.,alright land land land land thing land thing big tough guy sudden
35,36,1,Pilot,1,1,Rick:,"  We'll park it right here, Morty. Right here on the side of the ree... road here.",park right morty right side ree road
37,38,1,Pilot,1,1,Rick:,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.",know test morty elaborate test make assertive
39,40,1,Pilot,1,1,Rick:,"Sure. Why not? I don't, I don't know. Y-you know what, Mo--  ",sure know y-you know mo
53,54,1,Pilot,1,1,Rick:,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",everyone supposed sleep every single night realize nighttime makes half time
58,59,1,Pilot,1,1,Rick:,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.",mm god summer gotta rip band-aid thank later
60,61,1,Pilot,1,1,Rick:,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something--tell you how I feel about school, Jerry. It's a waste of time.  ",listen jerry i-i-i want overstep bounds anything house world real julius caesar tell something tell feel school jerry waste time
100,101,1,Pilot,1,1,Rick:,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.",morty listen got errand run whole different dimension need extra pair hands
102,103,1,Pilot,1,1,Rick:,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. buurp It's important. Come on, Morty.",pretty obvious morty froze listen need help morty mean got got get get hell go take care business buurp important come morty
104,105,1,Pilot,1,1,Rick:,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!",concept much higher stakes get morty think come
106,107,1,Pilot,1,1,Rick:,"I'll do it later, Morty. He'll be fine. Let's go.  ",later morty fine let go
130,131,1,Pilot,1,1,Rick:,"There she is. All right. Come on, Morty. Let's go.",right come morty let go
133,134,1,Pilot,1,1,Rick:,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty.",dimension 35-c got perfect climate conditions special type tree morty called mega tree fruit trees seeds fruits talking mega seeds incredibly powerful need help research morty
135,136,1,Pilot,1,1,Rick:,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be--  ",right right calm listen morty know new situations intimidating looking around scary different know m-meeting head charging right like bull grow people stranger scary situations deal time stick morty gonna
136,137,1,Pilot,1,1,Rick:,"HOLY CRAP, MORTY RUN!!!  ",holy crap morty run
137,138,1,Pilot,1,1,Rick:,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!",never seen thing life even know hell got get morty gonna kill us gonna die gonna die morty
139,140,1,Pilot,1,1,Rick:,"  Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.",oh morty take deep breath breathe breathe fresh air morty y-you smell smell adventure morty smell of-of-of-of whole different evolutionary timeline
141,142,1,Pilot,1,1,Rick:,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.   It defies all logic, that thing.",joking mean look crazy crap surrounding us look thing right defies logic thing
143,144,1,Pilot,1,1,Rick:,"Ta-ta-ta-ta-ta-ta. Morty, you see this?  ",ta-ta-ta-ta-ta-ta morty see
144,145,1,Pilot,1,1,Rick:,"You see what we just stumbled upon, Morty? Any idea what that is down there?",see stumbled upon morty idea
146,147,1,Pilot,1,1,Rick:,"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school.",right morty mega trees mega fruit talking morty seeds would done wanted would never found love school
148,149,1,Pilot,1,1,Rick:,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an buurp under- buurp underfoot figure.  ",ask lot questions morty charismatic makes kind buurp under- buurp underfoot figure
149,150,1,Pilot,1,1,Rick:,"Just take these shoes, Morty. They're buurp special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together.",take shoes morty buurp special grappling shoes wearing things babies basically walk surface want morty turn around left things really bring together
151,152,1,Pilot,1,1,Rick:,"You have to turn them on, Morty! The shoes have to be turned on!",turn morty shoes turned
165,166,1,Pilot,1,1,Rick:,"  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.",shoes morty work yeah look turned mine problem getting leisurely breeze
167,168,1,Pilot,1,1,Rick:,"Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?",yeah see think still able help collect seeds morty
169,170,1,Pilot,1,1,Rick:,"Okay, hold on just a second, Morty.  ",okay hold second morty
172,173,1,Pilot,1,1,Rick:,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?",worry morty come help get seeds right buddy
174,175,1,Pilot,1,1,Rick:,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.   The stuff was all over the place, Morty.",asked morty happened went future dimension advanced medicine broken-leg serum every corner drugstore stuff place morty
