SentenceID,Season,Episode,Sentence
1,1,Anatomy_Park_(episode),"[Open Ext. Smith residence]
"
2,1,Anatomy_Park_(episode),"(Outside, there is snow on the ground. The Smith house is
decorated for Christmas, and Jerry can be heard singing Last King Christmas.)
"
3,1,Anatomy_Park_(episode),"Jerry:
*singing* Last King Christmas last arrived!
"
4,1,Anatomy_Park_(episode),"[Trans Int. Kitchen]
"
5,1,Anatomy_Park_(episode),"(The kitchen is a mess of food in various stages of
preparation. Jerry pulls a ham out of the oven as he sings.)
"
6,1,Anatomy_Park_(episode),"Jerry: *singing*
In the Christmas Christmas! *stops singing and smells the ham* Mmm… Jerry, you
are really giving it to this ham.
"
7,1,Anatomy_Park_(episode),"(Jerry enters the living room, where a tree stands with
presents underneath it. Beth and Morty are occupied on tablets while Summer
uses her smartphone.)
"
8,1,Anatomy_Park_(episode),"Jerry: Um,
Merry Christmas? *puts his hands on his hips* Helloooo? My parents are coming
over for the first time in years! Can we stow the gadgets and look alive?
"
9,1,Anatomy_Park_(episode),"Beth: Alive?
For your parents?
"
10,1,Anatomy_Park_(episode),"(Jerry snags her tablet away and stows it in a stocking.)
"
11,1,Anatomy_Park_(episode),"Jerry: Good
one.
"
12,1,Anatomy_Park_(episode),"Beth: Hey man!
"
13,1,Anatomy_Park_(episode),"Jerry: You ‘hey
man’! This holiday is about humanity.
"
14,1,Anatomy_Park_(episode),"Morty: *not
looking up from his tablet* You know, I thought it was about being born
half-God or something.
"
15,1,Anatomy_Park_(episode),"Jerry: Okay,
whatever. All electronic items are going in the stocking. Now.
"
16,1,Anatomy_Park_(episode),"Morty: *hands
over his tablet* Ohhhh…
"
17,1,Anatomy_Park_(episode),"Summer: Dad, I’m not giving you my phone.
"
18,1,Anatomy_Park_(episode),"Jerry: Put it
in the stocking, Summer, or I’m joining Facebook.
"
19,1,Anatomy_Park_(episode),"(Summer gasps and drops her phone in the stocking.)
"
20,1,Anatomy_Park_(episode),"Rick:
*offscreen* Ho ho ho, everybody.
"
21,1,Anatomy_Park_(episode),"(Rick and Ruben enter the house and Jerry approaches
them.)
"
22,1,Anatomy_Park_(episode),"Jerry: More
like whoa whoa whoa. What is this? My parents are coming!
"
23,1,Anatomy_Park_(episode),"Rick: Calm
down Jerry, this is Ruben, an old friend.
"
24,1,Anatomy_Park_(episode),"Ruben: Pearl
Harbor.
"
25,1,Anatomy_Park_(episode),"Rick: I check
in on him once a year and give him a little *burp* medical *burp* evaluation.
"
26,1,Anatomy_Park_(episode),"Beth: Aw, Dad…
That is so sweet.
"
27,1,Anatomy_Park_(episode),"Jerry:
*squinting suspiciously* Yeah, it is… I don’t get it.
"
28,1,Anatomy_Park_(episode),"Ruben: Korea.
"
29,1,Anatomy_Park_(episode),"Rick: Don’t
worry about your C-C-Christmas, Jerry. *leads Ruben away* Ruben and I’ll be in
my workshop while you have another day in Phil Collins’ proverbial paradise.
"
30,1,Anatomy_Park_(episode),"(Rick and Ruben head out to the garage.)
"
31,1,Anatomy_Park_(episode),"Jerry: Huh.
You think you know a guy. (The doorbell rings.) Okay, there’s my parents. Now
remember, no TV, no phones, no laptops, we are connecting this Christmas, like
old-school Jews on a Saturday. *opens the door* Hey hey!
"
32,1,Anatomy_Park_(episode),"(Leonard and Joyce walk in.)
"
33,1,Anatomy_Park_(episode),"Leonard: Merry
Christmas, son.
"
34,1,Anatomy_Park_(episode),"(Jerry, not noticing Jacob, almost closes the door on
him, then opens it back up.)
"
35,1,Anatomy_Park_(episode),"Jerry: Oh, hi.
Can I help you?
"
36,1,Anatomy_Park_(episode),"Joyce: Jerry,
this is Jacob. *takes Jacob by the arm* Didn’t you get our text message?
"
37,1,Anatomy_Park_(episode),"Beth, Summer, and
Morty: No.
"
38,1,Anatomy_Park_(episode),"Jacob: You
must be Jerry! That’s a fine lookin’ apron. William Sonoma?
"
39,1,Anatomy_Park_(episode),"Jerry: *smiling
uncomfortably* I wish… But thank you. *closes the door* So… you’re a…friend of
the family…?
"
