SentenceID,Season,Episode,Sentence
1,1,Close_Rick-counters_of_the_Rick_Kind,"This article is a transcript of the Rick and Morty episode ""Close Rick-counters of the Rick Kind"" from season 1, which aired on April 7, 2014.
"
2,1,Close_Rick-counters_of_the_Rick_Kind,"[The Smith family is seen sitting around the table eating breakfast. The viewer at this point doesn't know that this scene is set in a dimension that is not Dimension C-137 with a different Smith family, but this will be apparent at the end of the scene.]"
3,1,Close_Rick-counters_of_the_Rick_Kind,"Beth: So dad, guess what tomorrow is..."
4,1,Close_Rick-counters_of_the_Rick_Kind,Rick: Martin Luther King Jr.'s birthday.
5,1,Close_Rick-counters_of_the_Rick_Kind,"Beth: No... well, it might be..."
6,1,Close_Rick-counters_of_the_Rick_Kind,Rick: It is.
7,1,Close_Rick-counters_of_the_Rick_Kind,"Beth: Fine, but also, tomorrow is your one year anniversary back in our lives. I'm gonna make you flying saucer-shaped pancakes."
8,1,Close_Rick-counters_of_the_Rick_Kind,"Rick: Oh, there's no need to do that, Beth. Regular pancakes are fine."
9,1,Close_Rick-counters_of_the_Rick_Kind,"(A portal appears on their wall and Evil Rick and Evil Morty emerge from it carrying a gun and a tranquilizer respectively. Evil Rick shoots Rick in the head and kills him. Evil Morty shoots Morty in the shoulder with his tranquilizer and he passes out. Evil Morty then drags Morty across the breakfast table and he and Evil Rick drag Morty through the portal, and the portal disappears. The family screams in horror the entire time.)"
10,1,Close_Rick-counters_of_the_Rick_Kind,[Opening sequence plays]
11,1,Close_Rick-counters_of_the_Rick_Kind,(The Smith family is seen sitting around the table eating breakfast. This scene takes place in Dimension C-137)
12,1,Close_Rick-counters_of_the_Rick_Kind,"Beth: Happy anniversary, dad!"
13,1,Close_Rick-counters_of_the_Rick_Kind,"Rick: Oh, I get it. Regular pancakes are already shaped like flying saucers. [takes bite] Mmm, I should be making you breakfast for putting up with me."
14,1,Close_Rick-counters_of_the_Rick_Kind,Jerry: Should be making us a whole restaurant.
15,1,Close_Rick-counters_of_the_Rick_Kind,"Beth: Nonsense, we couldn’t be happier to have you around. I just wish I got to see more of you."
16,1,Close_Rick-counters_of_the_Rick_Kind,(Three armed Ricks come into the room through a portal)
17,1,Close_Rick-counters_of_the_Rick_Kind,Rick 1: Rick Sanchez of Earth dimension C-137. You are under arrest for crimes against alternate Ricks by the authority of the transdimensional council of Ricks.
18,1,Close_Rick-counters_of_the_Rick_Kind,Jerry: Hey! What the heck?
19,1,Close_Rick-counters_of_the_Rick_Kind,Rick 1: Neutralise the Jerry.
20,1,Close_Rick-counters_of_the_Rick_Kind,"Jerry: Wait, no!"
21,1,Close_Rick-counters_of_the_Rick_Kind,"(Rick 2 shoots at Jerry, freezing him)"
22,1,Close_Rick-counters_of_the_Rick_Kind,Summer: Dad!
23,1,Close_Rick-counters_of_the_Rick_Kind,Beth: Dad!
24,1,Close_Rick-counters_of_the_Rick_Kind,Morty: Rick!
25,1,Close_Rick-counters_of_the_Rick_Kind,"Rick (C-137): Everybody relax. If I know these a-holes, and I am these a-holes, they just wanna haul me to their stupid clubhouse and waste my time with a bunch of questions. Let’s get it over with."
26,1,Close_Rick-counters_of_the_Rick_Kind,Rick 1: Bring his mo-[belches]-orty.
27,1,Close_Rick-counters_of_the_Rick_Kind,"Morty: Oh, man."
28,1,Close_Rick-counters_of_the_Rick_Kind,Rick (C-137): Leave my [belches] Morty out of this!
29,1,Close_Rick-counters_of_the_Rick_Kind,Rick 1: You lost the right to have a say in these things when you refused to join [belches] the council. 
30,1,Close_Rick-counters_of_the_Rick_Kind,"Beth: Wait, wh-wh-wh-what about Jerry?"
31,1,Close_Rick-counters_of_the_Rick_Kind,Rick (C-137): Will you at least unfreeze my daughter’s idiot?
32,1,Close_Rick-counters_of_the_Rick_Kind,(Rick 1 unfreezes Jerry. Rick 2 and Rick 3 take Rick through the portal and all exit)
33,1,Close_Rick-counters_of_the_Rick_Kind,"Jerry: -give you anything! I have a rare antique coin collection, just don’t hurt me! [pauses] Okay, maybe not antique, but it was a limited minting. They have little R2D2s instead of George Washingtons."
34,1,Close_Rick-counters_of_the_Rick_Kind,Beth: Our son’s been abducted!
35,1,Close_Rick-counters_of_the_Rick_Kind,Jerry: You hate me for buying those coins!
36,1,Close_Rick-counters_of_the_Rick_Kind,[Trans. Ext Citadel of Ricks]
37,1,Close_Rick-counters_of_the_Rick_Kind,[Trans. Int Citadel of Ricks. The three armed Ricks and C-137 Rick and Morty enter through a portal]
38,1,Close_Rick-counters_of_the_Rick_Kind,"Morty (C-137): Geez, Rick! Wh-what is this place?"
39,1,Close_Rick-counters_of_the_Rick_Kind,Rick (C-137): The citadel of Ricks. It’s the secret headquarters for the council of Ricks.
40,1,Close_Rick-counters_of_the_Rick_Kind,Morty (C-137): Council of Ricks? 
41,1,Close_Rick-counters_of_the_Rick_Kind,"Rick (C-137): As you know, Morty, I’ve got a lotta enemies in the universe that consider my genius a threat. Galactic terrorists, a few sub-galactic dictators, most of the entire intergalactic government: wh-wherever you find people with heads up their asses someone wants a piece of your grandpa. And a lot of versions of me on different timelines had the same problem. So a few thousand versions of me had the INGENIOUS IDEA OF BANDING TOGETHER like a herd of cattle or a school of fish or those people who answer questions on yahoo answers."
42,1,Close_Rick-counters_of_the_Rick_Kind,"Morty (C-137): Hey, what do you know? It’s a cowboy version of me!"
43,1,Close_Rick-counters_of_the_Rick_Kind,"Rick (C-137): Geez, you’re easy to impress. Yeah, most timelines have a Rick and most Ricks have a Morty. This place is a real who’s-who of who’s you and me."
