SentenceID,Season,Episode,Sentence
1,1,Lawnmower_Dog,"<p><i>(<a class=""mw-redirect"" href=""/wiki/Jerry"" title=""Jerry"">Jerry</a> and <a class=""mw-redirect"" href=""/wiki/Summer"" title=""Summer"">Summer</a> are in the living room. Jerry is flipping through channels on TV and Summer is texting)</i>"
2,1,Lawnmower_Dog,"
<b>TV:</b> Coin collecting is considered the perfect hobby."
3,1,Lawnmower_Dog,"
beautiful putt right there good birdie."
4,1,Lawnmower_Dog,"
That's only the eighth birdie of the day."
5,1,Lawnmower_Dog,"
<i>(<a href=""/wiki/Snuffles"" title=""Snuffles"">Snuffles</a> walks up to Jerry are sits there, looking at him)</i>"
6,1,Lawnmower_Dog,"
<b>Jerry:</b> What? Why are you looking at me? You want to go outside? Outside? <i>(Sigh)</i>"
7,1,Lawnmower_Dog,"
<i>(Jerry opens the door to let Snuffles out but he still just stands there)"
8,1,Lawnmower_Dog,"</i>
<b>Jerry:</b> Outside?"
9,1,Lawnmower_Dog,"
<i>(Snuffles pees on the carpet)</i>"
10,1,Lawnmower_Dog,"
<b>Jerry:</b> Are you kidding me?! Come on!"
11,1,Lawnmower_Dog,"
<b>Summer:</b> Oh, my God."
12,1,Lawnmower_Dog,"
<i>(<a class=""mw-redirect"" href=""/wiki/Morty"" title=""Morty"">Morty</a> hears his dad yelling and runs into the room to check up on him)</i>"
13,1,Lawnmower_Dog,"
<b>Morty:</b> What's wrong?"
14,1,Lawnmower_Dog,"
<b>Jerry:</b> Your idiot dog!"
15,1,Lawnmower_Dog,"
<b>Morty:</b> Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
16,1,Lawnmower_Dog,"
<b>Jerry:</b> Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
17,1,Lawnmower_Dog,"
<i>(Jerry grabs Snuffles by the head and stuffs his face into the pee puddle just as Rick walks in)"
18,1,Lawnmower_Dog,"</i>
<b><a class=""mw-redirect"" href=""/wiki/Rick"" title=""Rick"">Rick</a>:</b> Morty, come on. I need your help tonight."
19,1,Lawnmower_Dog,"
<b>Jerry:</b> Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
20,1,Lawnmower_Dog,"
<b>Rick:</b> I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
21,1,Lawnmower_Dog,"
<b>Jerry:</b> Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
