SentenceID,Season,Episode,Sentence
1,1,M._Night_Shaym-Aliens!,"[Open Int. Rick's garage.]
"
2,1,M._Night_Shaym-Aliens!,"(Rick is dissecting a rat.)
"
3,1,M._Night_Shaym-Aliens!,"Rick: T-t-t-this is just sloppy craftsmanship.
"
4,1,M._Night_Shaym-Aliens!,"Morty: Hey, Rick. Boy, sure is really especially beautiful out there today,
huh?
"
5,1,M._Night_Shaym-Aliens!,"Rick: Oh, yes, Morty. It's almost unbelievable, isn't it?
"
6,1,M._Night_Shaym-Aliens!,"Morty: Yeah, you know? There's something about the air. And just the way the sunshine is.
"
7,1,M._Night_Shaym-Aliens!,"Rick: Oh, sure, buddy. Yeah. Sure. B-brilliant. Very convincing.
"
8,1,M._Night_Shaym-Aliens!,"Morty: Wh… convincing?
"
9,1,M._Night_Shaym-Aliens!,"Rick: Oh! Responsive, too! In real time! I love it!
"
10,1,M._Night_Shaym-Aliens!,"Morty: Uhhokay.
"
11,1,M._Night_Shaym-Aliens!,"Beth: *robotic* I’m going to work. Morty, good morning. Dad, good morning. I am going to work. Goodbye. (Beth drives away.)
"
12,1,M._Night_Shaym-Aliens!,"Morty: What's with Mom?
"
13,1,M._Night_Shaym-Aliens!,"Rick: Oh, what's with Mom? So, you're saying that she's acting weird? How soph—*burp*—isticated. Careful, guys. You're gonna burn out the CPU with this one.
"
14,1,M._Night_Shaym-Aliens!,"Morty: Okay, you know what, Rick? You're acting weird, too.
"
15,1,M._Night_Shaym-Aliens!,"Rick: Whatever, quote-unquote “Morty.”
"
16,1,M._Night_Shaym-Aliens!,"Morty: Alright, well I'll see you after school. (Walks into the side of the garage.) Ow! Oof! Ugh! Damn it! I'm all right. I'm okay.
"
17,1,M._Night_Shaym-Aliens!,"[Trans. Morty’s math class]
"
18,1,M._Night_Shaym-Aliens!,"Mr. Goldenfold: Alright, who can tell me what 5 x 9 is? (Students whisper.) Morty?
"
19,1,M._Night_Shaym-Aliens!,"Morty: Uh, me?
"
20,1,M._Night_Shaym-Aliens!,"Mr. Goldenfold: What is 5 x 9?
"
21,1,M._Night_Shaym-Aliens!,"Morty: Um, you know, it's, uh, at least 40.
"
22,1,M._Night_Shaym-Aliens!,"(Students gasp.)
"
23,1,M._Night_Shaym-Aliens!,"Mr. Goldenfold: Morty, that's exactly correct! 5 x 9 is at least 40! Come up here.
"
24,1,M._Night_Shaym-Aliens!,"(Students cheer.)
"
25,1,M._Night_Shaym-Aliens!,"Jessica: Whoo! Way to go, Morty!
"
26,1,M._Night_Shaym-Aliens!,"Mr. Goldenfold: Everybody, this is the best student. I want you to be the teacher today. *sits down at a desk* Teach us, Morty!
"
27,1,M._Night_Shaym-Aliens!,"Rick: *spying from outside* Interesting…
"
28,1,M._Night_Shaym-Aliens!,"Morty: W-w-w-what do you want me to teach you?
"
29,1,M._Night_Shaym-Aliens!,"Student: Ooh, ooh! How do you make concentrated dark matter?
"
30,1,M._Night_Shaym-Aliens!,"Mr. Goldenfold: Oh, that's a good question.
"
31,1,M._Night_Shaym-Aliens!,"Morty: Concentrated huh?
"
32,1,M._Night_Shaym-Aliens!,"Mr. Goldenfold: Concentrated dark matter. The fuel for accelerated space travel. Now, do you know how to make it?
"
33,1,M._Night_Shaym-Aliens!,"Morty: Uhhh…
"
34,1,M._Night_Shaym-Aliens!,"Jessica: Come on, Morty. Isn't your grandpa, like, a scientist?
"
35,1,M._Night_Shaym-Aliens!,"Morty: Oh, yeah, but, you know, he told me that I shouldn't go around spouting off about, you know, his science and stuff.
"
