SentenceID,Season,Episode,Sentence
1,1,Meeseeks_and_Destroy,"This article is a transcript of the Rick and Morty episode Meeseeks and Destroy. It is the fifth episode of Season 1 and aired on January 20, 2014.
"
2,1,Meeseeks_and_Destroy,"[Open Ext. Damaged space station, likely in another
dimension]
"
3,1,Meeseeks_and_Destroy,"(The sky is purple and tumultuous as the sounds of Rick
and Morty running and panting are heard.)
"
4,1,Meeseeks_and_Destroy,"[Trans. Int. Space station]
"
5,1,Meeseeks_and_Destroy,"(Rick and Morty run through the abandoned station,
pursued by evil clones of Jerry, Beth, and Summer.)
"
6,1,Meeseeks_and_Destroy,"Rick: Run!
"
7,1,Meeseeks_and_Destroy,"Jerry, Beth, and
Summer: *incoherent zombie noises*
"
8,1,Meeseeks_and_Destroy,"(The three clones tackle Rick, knocking a device from his
hand. Morty stands by, unsure of what to do.)
"
9,1,Meeseeks_and_Destroy,"Rick: Morty,
do it! Hit the button now!
"
10,1,Meeseeks_and_Destroy,"Morty: I can’t
do it, Rick! They’re my parents and sister!
"
11,1,Meeseeks_and_Destroy,"Rick: *holding
off the clones* Morty, I already told you, it’s not your family! They’re clones
from an alternate reality possessed by demonic alien spirits from another
dimension’s future! Do you need a mnemonic device or something? Just hit the
button already!
"
12,1,Meeseeks_and_Destroy,"(Beth’s clone leaves Rick and approaches Morty, panting
viciously until she gets close, and she seemingly becomes her normal self again.)
"
13,1,Meeseeks_and_Destroy,"Beth: Morty,
please. I love you, sweetheart.
"
14,1,Meeseeks_and_Destroy,"Morty: Ohhhh…
"
15,1,Meeseeks_and_Destroy,"(Morty hesitates a second longer before darting past
Beth. He glances up at the clones, then covers his eyes as he hits a button on
the wall, creating an energy field that destroys the clones, whose faces seem
to melt. Morty watches, horrified. As soon as they’re gone, Rick jumps to his
feet and grabs the device that absorbed the spirits, apparently unbothered by
the entire event.)
"
16,1,Meeseeks_and_Destroy,"Rick: Good
work, Morty.
"
17,1,Meeseeks_and_Destroy,"(He creates a portal and jumps through.)
"
18,1,Meeseeks_and_Destroy,"[Trans. Garage]
"
19,1,Meeseeks_and_Destroy,"(Rick and Morty leap through the other end of the portal
back to the Smith residence.)
"
20,1,Meeseeks_and_Destroy,"Rick: *holding
up the device and smiling* Y-You know, these demonic alien spirits are really
valuable!
"
21,1,Meeseeks_and_Destroy,"(Screen pans out to show that Morty is vomiting in the
corner. Rick glances at him and puts the box away.)
"
22,1,Meeseeks_and_Destroy,"Rick: You
okay, Morty? Told you not to trust that tuna.
"
23,1,Meeseeks_and_Destroy,"Morty: I just
killed my family! I don’t care what they were!
"
24,1,Meeseeks_and_Destroy,"Rick: I dunno,
Morty. Some people would pay top dollar for that kinda breakthrough.
"
25,1,Meeseeks_and_Destroy,"Morty: Y-You
know what, Rick? That’s it! I-I’m done with these…insane adventures! That was
really traumatizing! I quit! I’m out!
"
26,1,Meeseeks_and_Destroy,"(Morty turns and starts to walk out of the garage.)
"
27,1,Meeseeks_and_Destroy,"Rick: Whoa
whoa whoa, *grabs Morty’s shoulder, stopping him* come on, Morty! D-D-Don’t be
like that! The universe is a crazy and chaotic place!
"
28,1,Meeseeks_and_Destroy,"Morty: *pushes
Rick’s hands away* You’re the one that’s crazy and chaotic! Adventures are
supposed to be simple! And fun!
"
29,1,Meeseeks_and_Destroy,"Rick: Oh yeah,
Morty. Yeah, t-t-that- that’s real easy to say from the sidekick position.
But—But, uh, h-how about next time you be in charge, then we’ll talk about how
simple and fun it is.
"
30,1,Meeseeks_and_Destroy,"Morty:
*suddenly excited* Seriously Rick?! Y-You’ll let me call the shots?
"
31,1,Meeseeks_and_Destroy,"Rick: Okay,
fine. But let’s make it interesting, Morty. I-I-If your adventure sucks, and we
bail halfway through it, you lose the right to bitch about all future
adventures. Plus, you have to do my laundry for a month.
"
32,1,Meeseeks_and_Destroy,"Morty: Okay, all right, tough guy! But if my adventure's good... I get to be in charge of every third adventure!
"
33,1,Meeseeks_and_Destroy,"Rick: Every 10th.
"
34,1,Meeseeks_and_Destroy,"Morty: Deal. All right. Well, come on, let's get going.
"
35,1,Meeseeks_and_Destroy,"Beth: Dad, the dishwasher's doing that thing again.
"
36,1,Meeseeks_and_Destroy,"Rick: Washing dishes?
"
37,1,Meeseeks_and_Destroy,"Beth: No. The opposite. Can you fix it?
"
38,1,Meeseeks_and_Destroy,"Summer: Grandpa Rick, can you help me with my science homework?
"
39,1,Meeseeks_and_Destroy,"Rick: Yeah just don't do it.
"
40,1,Meeseeks_and_Destroy,"Summer: Grandpa!
"
41,1,Meeseeks_and_Destroy,"Jerry: Hey, Rick, you got some kind of hand-shaped device that can open this mayonnaise jar?
"
