SentenceID,Season,Episode,Sentence
1,1,Pilot,<p>[Open to Morty’s room]
2,1,Pilot,"
<b>Rick:</b> <i>(stumbles in drunkenly, and turns on the lights)</i> Morty! You gotta come on. Jus'... you gotta come with me."
3,1,Pilot,"
<b>Morty:</b> <i>(rubs his eyes)</i> What, Rick? What’s going on?"
4,1,Pilot,"
<b>Rick:</b> I got a surprise for you, Morty."
5,1,Pilot,"
<b>Morty:</b> It's the middle of the night. What are you talking about?"
6,1,Pilot,"
<b>Rick:</b> <i>(spills alcohol on Morty's bed)</i> Come on, I got a surprise for you. <i>(drags Morty by the ankle)</i> Come on, hurry up. <i>(pulls Morty out of his bed and into the hall)</i>"
7,1,Pilot,"
<b>Morty:</b> Ow! Ow! You're tugging me too hard!"
8,1,Pilot,"
<b>Rick:</b> We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
9,1,Pilot,"
[Cut to Rick's ship]"
10,1,Pilot,"
<b>Rick:</b> <i>(Rick drives through the night sky)</i> What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."
11,1,Pilot,"
<b>Morty:</b> Yeah, Rick... I-it's great. Is this the surprise?"
12,1,Pilot,"
<b>Rick:</b> Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb."
13,1,Pilot,"
<b>Morty:</b> What?! A bomb?!"
14,1,Pilot,"
<b>Rick:</b> We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
15,1,Pilot,"
<b>Morty:</b> T-t-that's absolutely crazy!"
16,1,Pilot,"
<b>Rick:</b> Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
17,1,Pilot,"
<b>Morty:</b> Jessica? From my math class?"
18,1,Pilot,"
<b>Rick:</b> <i>(puts an arm around Morty’s shoulders)</i> When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
19,1,Pilot,"
<b>Morty:</b> Ohh..."
20,1,Pilot,"
<b>Rick:</b> And Jessica's gonna be Eve."
21,1,Pilot,"
<b>Morty:</b> Whhhh-wha?"
22,1,Pilot,"
<b>Rick:</b> And so that's the surprise, Morty."
23,1,Pilot,"
<b>Morty:</b> No, you can't! <i>(shoves Rick away)</i> Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!"
24,1,Pilot,"
<b>Rick:</b> I-I get what you're trying to say, Morty. Listen, I'm not... <i>(spills alcohol down his shirt)</i> You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty."
25,1,Pilot,"
<b>Morty:</b> What are you talking about, Rick?"
26,1,Pilot,"
<b>Rick:</b> You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty."
27,1,Pilot,"
<b>Morty:</b> I don't care about Jessica! Y-Yyyyyyyyyyou—"
28,1,Pilot,"
<b>Rick:</b> You know what, Morty? You're right. <i>(throws empty bottle into the backseat)</i> Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. <i>(presses a button)</i>"
29,1,Pilot,"
<b>Robot Voice:</b> Arming neutrino bomb."
30,1,Pilot,"
<b>Morty:</b> <i>(unbuckles his seatbelt)</i> That's it... that's it, Rick. I'm taking the wheel. <i>(jumps up on Rick and starts fighting with him over control of the wheel)</i>"
31,1,Pilot,"
<b>Rick:</b> Get off of me, Morty! <i>(they begin to talk over each other)</i>"
32,1,Pilot,"
<b>Morty:</b> I'm taking charge of this situation, buddy! <i>(starts kicking Rick's face while grabbing the wheel)</i> I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!"
33,1,Pilot,"
<b>Rick:</b> <i>(at the same time)</i> Come on! What’s gotten into you? If you love Earth so much why don’t you marry it? <i>(pushes Morty)</i> What are you, crazy? Alright, alright, Morty. <i>(pushes Morty off of him)</i>"
34,1,Pilot,"
<b>Rick:</b> Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden."
35,1,Pilot,"
[Cut to desert]"
36,1,Pilot,"
<b>Rick:</b> <i>(Rick lands the cruiser in an open desert; he opens the door and tumbles out among dozens of empty alcohol cans and bottles)</i> We'll park it right here, Morty. Right here on the side of the ree... road here."
37,1,Pilot,"
<b>Morty:</b> Oh, thank god."
38,1,Pilot,"
<b>Rick:</b> You know what? That was all a test, Morty. Just an elaborate test to make you more assertive."
39,1,Pilot,"
<b>Morty:</b> It was?"
40,1,Pilot,"
<b>Rick:</b> Sure. Why not? I don’t, I don't know. Y-you know what, Mo— <i>(falls asleep and begins snoring)</i>"
41,1,Pilot,"
<b>Robot Voice:</b> Neutrino bomb armed."
42,1,Pilot,"
<b>Morty:</b> Um..."
43,1,Pilot,"
[Cut to opening theme]"
44,1,Pilot,"
[Open to Smith residence, dining room]"
45,1,Pilot,"
<b>Jerry:</b> I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer? <i>(Morty falls asleep at the table, smashing his face into his plate)</i>"
46,1,Pilot,"
<b>Summer:</b> Oh my God, his head is in his food. I'm going to puke."
47,1,Pilot,"
<b>Beth:</b> Morty, are you getting sick? <i>(Morty lifts his head, clearly exhausted,"
48,1,Pilot,"</i>
and wipes food from his face)<i> I told you not to practice-kiss the living room"
49,1,Pilot,"</i>
pillow. The dog sleeps on it."
50,1,Pilot,"
<b>Morty:</b> I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something."
51,1,Pilot,"
<b>Summer:</b> Or maybe you were out all night again with Grandpa Rick."
52,1,Pilot,"
<b>Jerry:</b> What?"
53,1,Pilot,"
<b>Beth:</b> Dad?"
54,1,Pilot,"
<b>Rick:</b> What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?"
55,1,Pilot,"
<b>Jerry:</b> Damn it!"
56,1,Pilot,"
<b>Beth:</b> Jerry!"
57,1,Pilot,"
<b>Jerry:</b> Beth!"
58,1,Pilot,"
<b>Summer:</b> Oh my god, my parents are so loud, I want to die."
59,1,Pilot,"
<b>Rick:</b> Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later."
60,1,Pilot,"
<b>Jerry:</b> <i>(glaring at Rick)</i> Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?"
61,1,Pilot,"
<b>Rick:</b> Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time. <i>(Jerry stares incredulously at him)</i> Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue. <i>(wipes his mouth and gets up, stopping behind Beth and putting a hand on her shoulder)</i> This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them. <i>(Rick gives Beth a kiss and walks away)</i>"
62,1,Pilot,"
<b>Beth:</b> <i>(tears up in happiness)</i> Oh, dad…"
63,1,Pilot,"
<b>Jerry:</b> What? For real? <i>(Morty's face slams into his plate again)</i>"
64,1,Pilot,"
[Cut to Ext. Harry Herpson High School]"
65,1,Pilot,"
<b>Mr. Goldenfold:</b> Alright, now, everybody get settled. Get away from the windows!"
66,1,Pilot,"
[Cut to Int. Mr. Goldenfold’s class]"
67,1,Pilot,"
<b>Mr. Goldenfold:</b> Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two."
68,1,Pilot,"
<b>All classmates except Morty:</b> Four. <i>(Morty, sitting in the back row, stares at Jessica, who sits in the front row, answering Jessica’s name for the questions)</i>"
69,1,Pilot,"
<b>Morty:</b> Jessica."
70,1,Pilot,"
<b>Mr. Goldenfold:</b> Five plus five."
71,1,Pilot,"
<b>All classmates except Morty:</b> Ten."
72,1,Pilot,"
<b>Morty:</b> Jessica. <i>(Jessica hears Morty and looks back, confused, not sure who’s saying her name)</i>"
73,1,Pilot,"
<b>Mr. Goldenfold:</b> Okay, good. It's time for the quiz."
74,1,Pilot,"
<b>Class:</b> Awwwwww."
75,1,Pilot,"
<b>Mr. Goldenfold:</b> Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room. <i>(Morty stares at the quiz; the numbers on the quiz jumble together as Morty falls asleep)</i> There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3:00. <i>(Morty falls into a dream world filled with large number-shaped blocks; Jessica steps out from behind some of the numbers)</i>"
76,1,Pilot,"
<b>Jessica:</b> Hi, Morty."
77,1,Pilot,"
<b>Morty:</b> Whoa! Hi, Jessica."
78,1,Pilot,"
<b>Jessica:</b> Can I show these to you? <i>(Jessica opens her shirt, showing Morty her breasts)</i>"
79,1,Pilot,"
<b>Morty:</b> Wow. Th-they're both great. Thank you!"
80,1,Pilot,"
<b>Jessica:</b>  You know what I named these? My little Morties."
81,1,Pilot,"
<b>Morty:</b> <i>(rubs the back of his neck)</i> Uh, that's flattering... and a little weird."
82,1,Pilot,"
<b>Jessica:</b> Do you know what I want you to do with them?"
83,1,Pilot,"
<b>Morty:</b> Rename them?"
84,1,Pilot,"
<b>Jessica:</b> Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers."
85,1,Pilot,"
<b>Morty:</b> Wow. Well, okay, Jessica. L-let's give this a shot. <i>(Morty grabs her breasts and starts fondling her)</i>"
86,1,Pilot,"
<b>Jessica:</b> Mm. Oh, Morty. What are you doing to me?"
87,1,Pilot,"
<b>Morty:</b> Uh, I-I'm just doing my best. <i>(in real life, class has ended and Morty is fondling Mr. Goldenfold)</i>"
88,1,Pilot,"
<b>Mr. Goldenfold:</b> Morty! What are you doing to me?!"
89,1,Pilot,"
<b>Morty:</b> <i>(sleep-talking)</i> Ah, Jessica."
90,1,Pilot,"
<b>Mr. Goldenfold:</b> Morty!"
91,1,Pilot,"
<b>Morty:</b> Jessica."
92,1,Pilot,"
<b>Mr. Goldenfold:</b> Five more minutes of this, and I'm gonna get mad. <i>(leans back and bites his lip)</i>"
93,1,Pilot,"
<b>Morty:</b> Je-Jessica. Jessica."
94,1,Pilot,"
<b>Mr. Goldenfold:</b> Not my fault this is happening."
95,1,Pilot,"
[Cut to hallway]"
96,1,Pilot,"
<b>Frank:</b> <i>(Morty is at his locker, where he is confronted by a bully, Frank Palicky)</i> Well, well, well."
97,1,Pilot,"
<b>Morty:</b> Uh, morning, Frank."
98,1,Pilot,"
<b>Frank:</b> <i>(pins Morty to his locker)</i> ""Morning""? What was what is that supposed to mean? You making fun of me? Are you trying to say my family's poor? <i>(takes out a pocket knife and points it at Morty's neck)</i>"
99,1,Pilot,"
<b>Morty:</b> Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it."
100,1,Pilot,"
<b>Frank:</b> You telling me how to bully now? Big mistake, Morty and now I'm gonna cut you, 'cause my family's rich. <i>(Frank suddenly freezes and Rick steps out from behind him)</i>"
101,1,Pilot,"
<b>Rick:</b> There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
102,1,Pilot,"
<b>Morty:</b> Oh, geez, Rick. W-w-what'd you do to Frank?"
103,1,Pilot,"
<b>Rick:</b> It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. <i>(burps)</i> It's important. Come on, Morty."
