SentenceID,Season,Episode,Sentence
1,1,Raising_Gazorpazorp,"Rick: Look, I'm not paying 70 smidgens for a broken defraculator,"
2,1,Raising_Gazorpazorp,"Alien: That is multiphase quantum resonator,"
3,1,Raising_Gazorpazorp,"Rick: Well, does it defraculate?"
4,1,Raising_Gazorpazorp,"Alien: - No,"
5,1,Raising_Gazorpazorp,"Rick: Then -- then -- then it's a broken defraculator,"
6,1,Raising_Gazorpazorp,"Alien: Like you would even know dick about fraculation! Your planet just got cellphones, and the coverage still sucks!"
7,1,Raising_Gazorpazorp,"Rick: Yeah, yeah, and your species eat sulfur, So, let's say 60 smidgens, I tell you what -- I'll do you a favor, I'll throw in a fart,"
8,1,Raising_Gazorpazorp,"Morty: Hey, uh, Rick, um, you think maybe I could get something from this place, like a souvenir, like, just to have ---like, something cool, you know?"
9,1,Raising_Gazorpazorp,"Rick: Not here, Morty, We'll stop somewhere else, because, you know, there's always another pawn shop,"
10,1,Raising_Gazorpazorp,"Morty: Oh, okay I just, um -- you know, I thought that robot over there looked pretty cool, you know?"
11,1,Raising_Gazorpazorp,"Rick: Oh, it looks cool, huh? That's why you want it?"
12,1,Raising_Gazorpazorp,"Morty: Yeah! You know, I mean, it's different from the stuff on earth, and, you know, you take me to all these crazy places across the galaxy, and, you know,I don't really have anything to to remember all those trips by it'd be kind of cool, like a souvenir, You know, like, what if you passed away or died or something? I wouldn't even have anything to remember all the cool stuff we did, you know?"
13,1,Raising_Gazorpazorp,"Rick: Okay, 60 for the resonator, and my grandson wants the sex robot,"
14,1,Raising_Gazorpazorp,"Summer: So, we're just going to pretend this isn't happening?
I'm not saying that's a bad idea -- just asking,"
15,1,Raising_Gazorpazorp,"Jerry:
Rick, why would you let Morty bring that thing into our house?!"
16,1,Raising_Gazorpazorp,"Rick: I don't know,
What do you want from me?
He thi-- he thou-- he thou-- he th-- he thought it looked cool,
You know what I mean?"
17,1,Raising_Gazorpazorp,"Morty: Whew!
[ Gulping ]
Ahh, All right,
Back to -- back to -- b-back upstairs,
[ Footsteps depart, door closes in distance ]
[ Rhythmic creaking ]"
18,1,Raising_Gazorpazorp,"Jerry: Well, I'm intervening,"
19,1,Raising_Gazorpazorp,"Beth: Intervening with puberty?
You'll turn him into
Ralph Fiennes in ""Red Dragon,""
He's at that age,
Let's just be proud of him,"
20,1,Raising_Gazorpazorp,"Summer: Jesus, Did I really set the bar that low?"
21,1,Raising_Gazorpazorp,"Morty: Um, Rick, could you come with me, please -- q-quickly?"
22,1,Raising_Gazorpazorp,"Beth: Okay, now if we hear squeaking, we intervene,
[ Warbling ]"
23,1,Raising_Gazorpazorp,"Rick:
Where's the sex robot, Morty?"
24,1,Raising_Gazorpazorp,"Morty: That is Gwendolyn --
I-I mean, the robot!
She started beeping and then transformed and tried to fly away!"
25,1,Raising_Gazorpazorp,"Rick: Strange -- that's usually the man's job,
You know what I'm talking about,
Morty?
Wubba-lubba-dub-dub!
[ Laughs ]
Morty that's my catchphrase, remember?
Remember -- remember how I -- how I cemented that catchphrase?
All right, All right, seriously, though, let me grab this thing,
[ Grunts ]
Come on, you rascal,"
26,1,Raising_Gazorpazorp,"Beth: Okay, unacceptable!
Oh,"
27,1,Raising_Gazorpazorp,Jerry: What is going on?
28,1,Raising_Gazorpazorp,"Rick: All right, Uh-oh,"
29,1,Raising_Gazorpazorp,"Beth: ""Uh-oh""? What is that?!"
30,1,Raising_Gazorpazorp,"Rick: Hmm, I think Morty's robot was designed for more than long weekends,
Genetic compiler, incubation chamber,
Yep, This here's some kind of baby maker, and that there's half Morty, half [ Burps ] Who -- who knows wh-what?
It's my bad, guys,
I'll -- I'll take care of it,"
31,1,Raising_Gazorpazorp,"Beth: Grandpa Rick, no, no!"
32,1,Raising_Gazorpazorp,"Jerry: Whoa, whoa, whoa!"
33,1,Raising_Gazorpazorp,"Beth: Dad, What do you think you're doing?!"
34,1,Raising_Gazorpazorp,"Rick: Hey, listen -- you guys quarantined the house when Summer brought olives back from Mexico,
I mean, this thing could grow to the size of Delaware,
I mean, it might eat brains and exhale space aids,
We got to be careful,"
35,1,Raising_Gazorpazorp,"Morty: I lost the chance to be careful, Rick,
I'm a father now!
You know, it's time for me to be responsible, Isn't that right..."
36,1,Raising_Gazorpazorp,Rick: Don't name it!
37,1,Raising_Gazorpazorp,Morty: Morty Jr ?
38,1,Raising_Gazorpazorp,"Rick: Oh, crap, He named it,"
