SentenceID,Season,Episode,Sentence
1,1,Rick_Potion_9,"Principal Vagina: Principal Vagina here -- don't let the name fool you,
I'm very much in charge -- reminding you that tonight is our annual flu season dance,
I don't know how many times
I have to say this, but if you have the flu, stay home,"
2,1,Rick_Potion_9,"Jessica: Hey,"
3,1,Rick_Potion_9,"Principal Vagina: The flu season dance is about awareness, not celebration,
You don't bring dead babies to passover,"
4,1,Rick_Potion_9,"Morty: Okay, Here we go,
H-hey, Jessica,"
5,1,Rick_Potion_9,"Jessica: Uh...
What's up, Morty?"
6,1,Rick_Potion_9,Brad: What are you doing?
7,1,Rick_Potion_9,Morty: Um...
8,1,Rick_Potion_9,"Brad: Wait, wait,
Were you about to talk... to her?"
9,1,Rick_Potion_9,"Morty: Well... I mean,
I was thinking about it,"
10,1,Rick_Potion_9,"Brad: Dude, stay in your league,
Look at how hot she is,
You don't see me going to a bigger school in a wealthier district and hitting on their prettiest girl,"
11,1,Rick_Potion_9,"Jessica: Gee, thanks, brad,
I throw balls far,
You want good words?
Date a languager,"
12,1,Rick_Potion_9,"Jerry: Try not to worry about it, Morty, You're a good kid, and there's not a premium on that right now, but you'll be getting girls sometime after brad's out of shape,"
13,1,Rick_Potion_9,"Morty:
You're missing the point, dad,
I don't want girls,
I want Jessica,"
14,1,Rick_Potion_9,"Jerry: Ah, well,
I remember feeling that way about a young lady named ""your mom,"" and that's not an urban diss,
Your mom was my Jessica,
I remember the first time
I saw her, I thought --"
15,1,Rick_Potion_9,"Rick: ""I should get her pregnant, and then she'll have to marry me ,"""
16,1,Rick_Potion_9,"Jerry: I beg your pardon,
Rick -- inappropriate,"
17,1,Rick_Potion_9,"Rick: Sorry, please proceed with your story about banging my daughter in high school,
I'm not sure you want to take romantic advice from this guy, Morty,
His marriage is hanging from a thread,"
18,1,Rick_Potion_9,"Jerry: My marriage is fine, thank you,"
19,1,Rick_Potion_9,"Rick: Jerry, it's your house -- whatever you say it is is how it is -- but I think a blind man could see that Beth is looking for the door,
I barely have a reason to care, and even I noticed,"
20,1,Rick_Potion_9,"Morty: Come on, Rick! Don't talk about my parents like that,"
21,1,Rick_Potion_9,"Rick: Listen, Morty, I hate to break it to you, but what people call ""love"" is just a chemical reaction that compels animals to breed,
It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage,
I did it, Your parents are gonna do it,
Break the cycle, Morty,
Rise above, Focus on science,
[ Slurps ]"
22,1,Rick_Potion_9,"Morty: All right, well, I'm gonna go get dressed for the dance,"
23,1,Rick_Potion_9,"Jerry: Yeah, I'm just going to... check on your mom,"
24,1,Rick_Potion_9,"Rick: Morty, hand me that screwdriver, huh?
I'm almost finished making my ionic defibulizer, Morty,
It's gonna be great,"
25,1,Rick_Potion_9,"Morty: Hey, listen, Rick,
Y-y-you know how you said that, you know, love is a chemical and all that stuff from earlier?
Well, I was thinking, you know, w-w-- could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing?
You know, like, maybe make some sort of love potion or something?"
26,1,Rick_Potion_9,"Rick: Morty, that's such a poor use of my time,
It's beneath me,
Hand me the screwdriver,"
