SentenceID,Season,Episode,Sentence
1,1,Rixty_Minutes,"This article is a transcript of the Rick and Morty episode Rixty Minutes from Season 1, which aired on March 17, 2014.
"
2,1,Rixty_Minutes,"Int. Smith Residence. The Smith Family and Rick are sitting in the living room watching TV. 
"
3,1,Rixty_Minutes,"Bachelor (on TV): Cynthia...
"
4,1,Rixty_Minutes,"Jerry: Oh, my God! No, no..!
"
5,1,Rixty_Minutes,"Summer: I told you!
"
6,1,Rixty_Minutes,"Beth: Hold on.
"
7,1,Rixty_Minutes,"Bachelor (on TV): Will you please... NOT marry me-- I choose Veronica.
"
8,1,Rixty_Minutes,"Summer: What?
"
9,1,Rixty_Minutes,"Jerry: Yes!
"
10,1,Rixty_Minutes,"Beth: Called it.
"
11,1,Rixty_Minutes,"Summer: Why would he choose Veronica?
"
12,1,Rixty_Minutes,"Jerry: Because he loves her?
"
13,1,Rixty_Minutes,"Rick: Well if it's any consolation, Summer, none of it mattered, and the entire show is stupid.
"
14,1,Rixty_Minutes,"Jerry: Okay, I've got an idea, Rick: you show us your concept of ""good TV"", and we'll crap all over that.
"
15,1,Rixty_Minutes,"Rick : [stands, walking to the TV] I thought you'd never ask.
"
16,1,Rixty_Minutes,"[disconnects and drops cable box, which breaks upon impact to the floor]
"
17,1,Rixty_Minutes,"Jerry: Hey!
"
18,1,Rixty_Minutes,"Morty: Oh, cool! Is that crystallized Zanthonite? It conducts electrons across dimensions.
"
19,1,Rixty_Minutes,"Rick: [working on the cable box] 20% accurate, as usual, [snatching the remote from Morty] Morty. [reconnecting the cable box as the TV buffers] The important thing being I just upgraded our cable package with programming from every conceivable reality.
"
20,1,Rixty_Minutes,"Jerry: Wait, does that mean we get Showtime Extreme?
"
21,1,Rixty_Minutes,"Rick: How about Showtime Extreme in a world where man evolved from corn? [turns on TV]
"
22,1,Rixty_Minutes,"Corn Man 1 (on TV): We're not so different. We're both corn of action.
"
23,1,Rixty_Minutes,"Corn Man 2 (on TV): Yeah... But one of us is dead corn! [shoots Corn Man 1]
"
24,1,Rixty_Minutes,"Summer: Boring.
"
25,1,Rixty_Minutes,"Rick: Summer, [belch] you just spent [belch] three months watching a man choose a fake wife.
"
26,1,Rixty_Minutes,"Jerry: So, what, It'd be better if the people were corn?
"
27,1,Rixty_Minutes,"Rick: Jerry, you don't get it. This is infinite TV, from infinite universes. Look. [changes channel]
"
28,1,Rixty_Minutes,"Glenn (on TV): This shit is delicious.
"
29,1,Rixty_Minutes,"Rick: A movie about a guy eating shit. [changes channel, various people are fighting on TV] A violent Antiques Show... [changes channel]
"
30,1,Rixty_Minutes,"Letterman (on TV): It's a pleasure to have you.
"
31,1,Rixty_Minutes,"Jerry (on TV): The pleasure's all mine.
"
32,1,Rixty_Minutes,"Rick: Letterman from a time line where Jerry's famous. [changes channel]
"
33,1,Rixty_Minutes,"Jerry: Wait!
"
34,1,Rixty_Minutes,"Beth: What in the hell?
"
35,1,Rixty_Minutes,"Rick: I agree. Where's this going?
"
36,1,Rixty_Minutes,"Jerry: No, the other thing! Go back!
"
37,1,Rixty_Minutes,"Rick: Really? All right, fine.
"
38,1,Rixty_Minutes,"Woman (on TV): Glenn, this is a court order. It says you can't eat shit anymore.
"
