SentenceID,Season,Episode,Sentence
1,1,A_Rickle_in_Time,"This article is a transcript of the Rick and Morty episode A Rickle in Time from Season 2. It aired on July 26, 2015.
"
2,1,A_Rickle_in_Time,"
[Open aerial view/zoom on the Smith home]
"
3,1,A_Rickle_in_Time,"(Morty, Rick, and Jerry)
"
4,1,A_Rickle_in_Time,"(Everything is frozen besides Morty, Rick and Summer. Morty is vacuuming Jerry with a hand vac.)
"
5,1,A_Rickle_in_Time,(Enter: Summer)
6,1,A_Rickle_in_Time,"Summer: Hurry up Morty, Grampa's about to unfreeze time. You know you really should be cleaning from top to bottom.
"
7,1,A_Rickle_in_Time,"Morty: I know how to vacuum Mom and Dad, Summer, I've been doing it for six months!
"
8,1,A_Rickle_in_Time,"Summer: Then you've been doing it wrong for six months. Oh, my God, is that mildew?
"
9,1,A_Rickle_in_Time,"Morty: It's not my fault we froze time on a humid day!
"
10,1,A_Rickle_in_Time,"Summer: You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?
"
11,1,A_Rickle_in_Time,"Morty: What? What kind of monster are you?
"
12,1,A_Rickle_in_Time,"Summer: A competent one.
"
13,1,A_Rickle_in_Time,"Rick: Who cares about the *belch* thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.
"
14,1,A_Rickle_in_Time,"(Morty puts shirt on Jerry backwards.)
"
15,1,A_Rickle_in_Time,"Rick: Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize.
"
16,1,A_Rickle_in_Time,"Morty: Our time is gonna be unstable? What does that even mean?
"
17,1,A_Rickle_in_Time,"Rick: It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards.
"
18,1,A_Rickle_in_Time,"Morty: Wait a minute, what?
"
19,1,A_Rickle_in_Time,"Rick: And away we go!
"
20,1,A_Rickle_in_Time,"(Rick unfreezes time.)
"
21,1,A_Rickle_in_Time,"(Mr. Benson falls off the roof.)
"
22,1,A_Rickle_in_Time,"Morty: Uh, did we ever put that mattress under Mr. Benson?
"
23,1,A_Rickle_in_Time,"Rick: Shhh, Morty!
"
24,1,A_Rickle_in_Time,"(Jerry opens the door angrily)
"
25,1,A_Rickle_in_Time,"Jerry: ...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed.
"
26,1,A_Rickle_in_Time,"Rick: Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety.
"
27,1,A_Rickle_in_Time,"Beth: Hi, dad.
"
28,1,A_Rickle_in_Time,"(Summer and Morty recoil from Beth as she approaches to hug Rick)
"
29,1,A_Rickle_in_Time,"Beth: Summer, Morty, are you okay?
"
30,1,A_Rickle_in_Time,"Morty: W-We just missed you a lot.
"
31,1,A_Rickle_in_Time,"Summer: Yeah, we missed you so much. Too much to hug you though.
"
32,1,A_Rickle_in_Time,"(Rick motions Summer and Morty behind him.)
"
33,1,A_Rickle_in_Time,"Rick: Yeah it would literally destroy them. Now listen, why do—why do—why—why don't you guys go get a free sunday ice cream, (Rick puts a rubber band around a rolled up wad of cash) go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts.
"
34,1,A_Rickle_in_Time,"Jerry: This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket.
"
35,1,A_Rickle_in_Time,"Beth: Sweety, is your shirt on backwards?
"
36,1,A_Rickle_in_Time,<Simultaneously---
37,1,A_Rickle_in_Time,"Summer: *Gasp* 
"
38,1,A_Rickle_in_Time,"Morty: Oh!
"
39,1,A_Rickle_in_Time,"Rick: Uh oh.
"
40,1,A_Rickle_in_Time,"-------------->
"
41,1,A_Rickle_in_Time,"Jerry: Yeah, I like it this way. I'm not stupid.
"
42,1,A_Rickle_in_Time,"<Simultaneously---
"
43,1,A_Rickle_in_Time,"Morty: Phew...
"
44,1,A_Rickle_in_Time,"Summer: *Exhales*
"
45,1,A_Rickle_in_Time,"-------------->
"
46,1,A_Rickle_in_Time,"Rick:  Man that guy is the Red Grin Grumble to pretending he knows what's going on. (Morty and Summer laugh) Oh you agree, huh? (Summer: Funny) You like that Red Grin Grumble reference? (Summer: Yeah.) Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep.
"
47,1,A_Rickle_in_Time,"[Intro sequence]
"
48,1,A_Rickle_in_Time,"[Trans. Outside Morty's house]
"
49,1,A_Rickle_in_Time,"(Mr. Benson is being loaded into an ambulance.)
"
50,1,A_Rickle_in_Time,"[Trans. Inside Morty's house]
"
51,1,A_Rickle_in_Time,"Summer: God, I feel terrible.
"
52,1,A_Rickle_in_Time,"Rick: Yup, it really makes you appreciate how fickle the universe can be. (Rick opens refrigerator) [Trans. Inside refrigerator] One minute you're falling off a roof for six months, the next minute, bam!
"
53,1,A_Rickle_in_Time,[Trans. Inside Morty's house]
54,1,A_Rickle_in_Time,"Morty: Uh, just to be clear, it was Summer's job to put the mattress under-
"
55,1,A_Rickle_in_Time,"Summer: (interrupting) Uh, what? It was your job, Morty. (Summer pokes Morty.)
"
56,1,A_Rickle_in_Time,"Morty: Nuh uh!
"
57,1,A_Rickle_in_Time,"Summer: Yeah huh!
"
58,1,A_Rickle_in_Time,"Rick: Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson.
"
59,1,A_Rickle_in_Time,"Morty: Boom! In your face Summer! You really dropped the ball, man.
"
60,1,A_Rickle_in_Time,"Summer: Shut up Morty, you vindictive little turd!
"
61,1,A_Rickle_in_Time,"Morty: You shut up you big... female asshole!
"
62,1,A_Rickle_in_Time,"(Alternate selves first appear)
"
63,1,A_Rickle_in_Time,"Alternate Morty: Hey, don't shove me!
"
64,1,A_Rickle_in_Time,"Summer: I didn't!
"
65,1,A_Rickle_in_Time,"Morty: You didn't what?
"
66,1,A_Rickle_in_Time,"Alternate Summer: What's your problem?
"
67,1,A_Rickle_in_Time,"Morty: What's yours?
"
68,1,A_Rickle_in_Time,"Alternate Summer: Shut up!
"
69,1,A_Rickle_in_Time,"Morty: You shut up!
"
70,1,A_Rickle_in_Time,"Rick: Whoa whoa wh-what the hell hell hell hell hell?
"
71,1,A_Rickle_in_Time,"(Time splits into two - alternate timelines will be ordered from top to bottom, left to right.)
"
72,1,A_Rickle_in_Time,"All Ricks: Oh God, oh no, what did you guys just do?
"
73,1,A_Rickle_in_Time,"Summer 1: What do you mean?
"
74,1,A_Rickle_in_Time,"Summer 2: What could we do?
"
75,1,A_Rickle_in_Time,"All Summers: Wait, what am I saying?
"
76,1,A_Rickle_in_Time,"Rick: *belch* Were either of you guys uncertain about anything just now?
"
77,1,A_Rickle_in_Time,"All Mortys: Oh man... I don't feel good.
"
78,1,A_Rickle_in_Time,"Morty 1: Am I me? I think so.
"
79,1,A_Rickle_in_Time,"Morty 2: A-am I talking right now?
"
80,1,A_Rickle_in_Time,"All Mortys: Wait, who said that?
"
81,1,A_Rickle_in_Time,"All Ricks: Alright both of you, just don't move, don't speak, don't think. I have to check something. 
"
82,1,A_Rickle_in_Time,"Summer 1: What should we do Morty?
"
83,1,A_Rickle_in_Time,"Summer 2: I'm gonna help Grampa.
"
84,1,A_Rickle_in_Time,"Morty 1: Let's see if he needs help.
"
85,1,A_Rickle_in_Time,"Morty 2: What do you mean you're gonna help him.
"
86,1,A_Rickle_in_Time,"Summer 1: Ugh, I can help too.
"
87,1,A_Rickle_in_Time,[Trans. Inside Rick's garage] 
88,1,A_Rickle_in_Time,"All Mortys: What's going on Rick?
"
89,1,A_Rickle_in_Time,"All Summers: What's happening Grampa?
"
90,1,A_Rickle_in_Time,"All Ricks: Shut up! (Rick turns on a monitor) Oh crap are you kidding me? Two dots? This never needs to be more than one dot. The two of you made us uncertain!
"
91,1,A_Rickle_in_Time,"Morty 1: What do you mean?
"
92,1,A_Rickle_in_Time,"Morty 2: What? In English?
"
93,1,A_Rickle_in_Time,"Summer 1: What? English please?
"
94,1,A_Rickle_in_Time,"Summer 2: What are you talking about?
"
95,1,A_Rickle_in_Time,"All Ricks: Our time is fractured. You two somehow created a feedback loop of uncertainty that's split our reality into two equally possible impossiblities. W-we're exactly like a man capable of sustaining a platonic friendship with an attractive female co-worker. We're entirely hypothetical.
"
96,1,A_Rickle_in_Time,"All Mortys: But I thought there were infinite timelines.
"
97,1,A_Rickle_in_Time,"All Ricks: We're not on any timeline, dummy. Look.
"
98,1,A_Rickle_in_Time,"(Rick opens the garage door, revealing floating cats, trees and islands.)
"
99,1,A_Rickle_in_Time,"All Mortys: Oh, my God!
"
100,1,A_Rickle_in_Time,"All Summers: Are those cats?
"
101,1,A_Rickle_in_Time,"All Ricks: I assume they're Schrodinger's cats. A-actually, I assume they both are and aren't, just like us. 
"
102,1,A_Rickle_in_Time,"Summer 1 & Morty 2: Is the world gone? Where are Mom and Dad?
"
