SentenceID,Season,Episode,Sentence
1,2,Auto_Erotic_Assimilation,"This article is a transcript of the Season 2 episode Auto Erotic Assimilation.
"
2,2,Auto_Erotic_Assimilation,"// used XhmikosR - www.addic7ed.com transcript for spelling reference of ""Une""
"
3,2,Auto_Erotic_Assimilation,Open Ext. Rick's Ship in flying through a planet's rings
4,2,Auto_Erotic_Assimilation,"(Morty is in the backseat, Summer is in the starboard seat, Rick is driving)"
5,2,Auto_Erotic_Assimilation,All: (singing) Love. Connection. Experience.
6,2,Auto_Erotic_Assimilation,"
"
7,2,Auto_Erotic_Assimilation,(Morty claps)
8,2,Auto_Erotic_Assimilation,Rick: Yeah Morty
9,2,Auto_Erotic_Assimilation,"All: (singing) Come together. With love. connection, experience! [laughter]"
10,2,Auto_Erotic_Assimilation,Rick: It's my favourite song
11,2,Auto_Erotic_Assimilation,"Morty: Hahahahaha, yeah"
12,2,Auto_Erotic_Assimilation,(distress beacon alert chimes)
13,2,Auto_Erotic_Assimilation,"Rick: Oh yeah, distress beacon! [belches] Yeah baby!"
14,2,Auto_Erotic_Assimilation,Morty: You're excited about that?
15,2,Auto_Erotic_Assimilation,"Rick: The first rule of space travel kids, is always check out distress beacons; nine out of ten times its a ship full of dead aliens and a bunch of free shit!"
16,2,Auto_Erotic_Assimilation,[Rick makes a sharp turn]
17,2,Auto_Erotic_Assimilation,Morty and Summer: Whoa!
18,2,Auto_Erotic_Assimilation,"Rick: One out of ten times its a deadly trap, but I'm ready to roll those dice!"
19,2,Auto_Erotic_Assimilation,[Trans. flying toward S.S. Independence]
20,2,Auto_Erotic_Assimilation,"[Trans. Rick, Morty, and Summer entering corridor]"
21,2,Auto_Erotic_Assimilation,Summer: Seems like something terrible happened here.
22,2,Auto_Erotic_Assimilation,"Rick: Yeah. Cha-ching. Oh yeah, if you find a room full of eggs, don't shy away from it, give one of them a shake. Those facehuggers are worth more than this ship."
23,2,Auto_Erotic_Assimilation,(Rick is spray-painting a symbol on a closed door)
24,2,Auto_Erotic_Assimilation,"Morty: Uh, what's that?"
25,2,Auto_Erotic_Assimilation,Rick: This will make the cops write it up as a looting by the Korblocks.
26,2,Auto_Erotic_Assimilation,Summer: That's horrible!
27,2,Auto_Erotic_Assimilation,"Rick: I hear you man, cops are racist."
28,2,Auto_Erotic_Assimilation,(A door behind them opens with six crewmembers)
29,2,Auto_Erotic_Assimilation,"Rick: Oh, hey! You're alive! Thank God."
30,2,Auto_Erotic_Assimilation,Female alien: Can you help us? Our planet was taken over by some kind of [pauses] entity! It absorbed the minds of our people!
31,2,Auto_Erotic_Assimilation,"Male alien 1: We didn't notice until it was too late. The people it takes over, they look like your friends, your family, your leaders, but they're not, themselves any more; They're part of It."
32,2,Auto_Erotic_Assimilation,Rick: And how do you know it didn't get on the ship with you? Those two ding-dongs seem pretty calm about the whole thing.
33,2,Auto_Erotic_Assimilation,"
  (Two male aliens are calm and not panting and standing apart from the other four)"
34,2,Auto_Erotic_Assimilation,(They screech after Rick points at them)
35,2,Auto_Erotic_Assimilation,"   Male alien with glasses: Hey! No, no- uurgh!"
36,2,Auto_Erotic_Assimilation,(Morty screams. The other four are assimilated)
37,2,Auto_Erotic_Assimilation,Rick: Called it.
38,2,Auto_Erotic_Assimilation,All six aliens together: Hello Rick. Long time no see.
39,2,Auto_Erotic_Assimilation,Rick: Unity!?
40,2,Auto_Erotic_Assimilation,Morty: Rick?
41,2,Auto_Erotic_Assimilation,Summer: Grandpa?
42,2,Auto_Erotic_Assimilation,"Rick: Oh boy. Uh, these are my grandkids, Summer and Morty. Summer, Morty, this is uh, Unity. We sort of used to, uh, date."
43,2,Auto_Erotic_Assimilation,"
  [intro credits begin]"
44,2,Auto_Erotic_Assimilation,[Scene's of life on Unity's planet are shown; S.S. Independence lands]
45,2,Auto_Erotic_Assimilation,   Rick: Quite an operation you got going here Une. You're a whole planet now huh?
46,2,Auto_Erotic_Assimilation,"Unity (Administrator): After we broke up, I spend some time wandering through space,"
47,2,Auto_Erotic_Assimilation,"Unity (Thin suited man): then I found this world,"
48,2,Auto_Erotic_Assimilation,Unity (Large suited man): where I was better able to focus on my passion for unification.
49,2,Auto_Erotic_Assimilation,Summer: You mean stealing peoples’ bodies?
50,2,Auto_Erotic_Assimilation,"Rick: Summer, rude. Why don't you kids run off and play with Unity while Unity and I do some catching up."
51,2,Auto_Erotic_Assimilation,(four aliens come over to Morty and Summer put a hand on their shoulders)
52,2,Auto_Erotic_Assimilation,Summer: Ugh.
53,2,Auto_Erotic_Assimilation,"Morty: Wait! Rick, aren't these people going to barf into our mouths and absorb us?"
54,2,Auto_Erotic_Assimilation,"Unity (Administrator): You're guests here on my planet, you're free to be yourselves; I've never been good at disappointing Rick."
55,2,Auto_Erotic_Assimilation,Summer: Well now I'm going to barf. Come on Morty.
56,2,Auto_Erotic_Assimilation,[Trans. to garage; Jerry is rooting through shelves]
57,2,Auto_Erotic_Assimilation,"
"
58,2,Auto_Erotic_Assimilation,"Beth: Jerry, what are you- what are you doing in here? "
59,2,Auto_Erotic_Assimilation,"Jerry: I’m trying to find our weed whacker, ‘cause our weeds are wack, yo."
60,2,Auto_Erotic_Assimilation,Beth: But you can’t go in the garage when Rick’s not here. 
61,2,Auto_Erotic_Assimilation,Jerry: I can’t?
62,2,Auto_Erotic_Assimilation,"Beth: Well, he doesn’t like it."
63,2,Auto_Erotic_Assimilation,"Jerry: What’s he gonna do, crash rent-free at his other family’s house? "
64,2,Auto_Erotic_Assimilation,Beth: What is that supposed to mean?
65,2,Auto_Erotic_Assimilation,(Jerry stands up and turns to face Beth)
66,2,Auto_Erotic_Assimilation,"Jerry: Your dad gets to walk all over us because of your abandonment issues! He’s playing you, shorty."
67,2,Auto_Erotic_Assimilation,"Beth: Oh, stop affecting that stupid hip-hop dialect! "
68,2,Auto_Erotic_Assimilation,Jerry: Stop shifting the crosshairs to my ironic urban patois just because your relationship with your father is toe-up from the flow-up.
69,2,Auto_Erotic_Assimilation,(Gurgling sounds come from below. Beth and Jerry look around)
70,2,Auto_Erotic_Assimilation,Jerry: What the hell was that?
71,2,Auto_Erotic_Assimilation,"Beth: (whispering) I don’t know, let’s just leave! "
72,2,Auto_Erotic_Assimilation,(More gurgling. Jerry removes the mat to reveal a hatch in the floor.)
73,2,Auto_Erotic_Assimilation,Jerry: That is a hatch! Your father put a hatch in my garage! 
74,2,Auto_Erotic_Assimilation,"Beth: You don’t know it was him! [pauses] Anyway, we’re not supposed to be in here!"
75,2,Auto_Erotic_Assimilation,"Jerry: Obviously, neither is whatever’s gurgling down there."
76,2,Auto_Erotic_Assimilation,(Gurgling)
77,2,Auto_Erotic_Assimilation,[Trans. to Unity’s planet: Rick is approaching a news stand]
78,2,Auto_Erotic_Assimilation,"Rick: World peace achieved. Nice! A little weird to publish a paper about it for yourself, but hey. So what’s next? "
79,2,Auto_Erotic_Assimilation,"Unity (Newsagent): After I become a type-one civilisation, this world will be invited into the Galactic Federation."
80,2,Auto_Erotic_Assimilation,"Rick: Oh, goody."
81,2,Auto_Erotic_Assimilation,"(As Rick walks, Unity switches between people nearby to have a flawless conversation without having to stop what they’re doing)"
82,2,Auto_Erotic_Assimilation,Unity (Customer): From there I’ll have access to countless planets and species. 
83,2,Auto_Erotic_Assimilation,"Unity (Pedestrian): One by one, I will unify them, I will become the universe, and I will be what the single-minded once called a god."
84,2,Auto_Erotic_Assimilation,"Rick: [burps] I like that. Oh, that’s pretty sexy. Hey listen, where can I get a drink around here? "
85,2,Auto_Erotic_Assimilation,Unity (Old woman): Recreational substances were phased out here. There’s no need for escape from the self when your world is one.
86,2,Auto_Erotic_Assimilation,"Rick: Unity, Unity, who am I talking to? I watched you assimilate a whole police station just to get your hands on the evidence locker."
87,2,Auto_Erotic_Assimilation,"Unity (Worker): Rick, when we met I was a young hivemind with the population of a small town. People… change."
88,2,Auto_Erotic_Assimilation,"Unity (Busker): Especially when I change them. I’m sorry to disappoint you, but… I’ve grown."
89,2,Auto_Erotic_Assimilation,"Rick: Hey, listen, I’ve grown too. I have! See, I’ve- I’ve reconnected with my family, right? "
90,2,Auto_Erotic_Assimilation,"Unity (Police officer): Hm, why is that I wonder? "
91,2,Auto_Erotic_Assimilation,Rick: Maybe it’s part of getting old. Maybe I just miss being with… a collective.
92,2,Auto_Erotic_Assimilation,(Rick and Unity start kissing. A crowd forms around them)
93,2,Auto_Erotic_Assimilation,Unity (Crowd): Yes Rick! Yes! Yes!
94,2,Auto_Erotic_Assimilation,Rick: Oh yeah!
95,2,Auto_Erotic_Assimilation,Unity (Crowd): Yes! Yes! 
96,2,Auto_Erotic_Assimilation,"Rick: Wait, wait, stop! H-Hold it! Not like this. We need a hang glider. And a crotchless Uncle Sam costume. And I want the entire field of your largest stadium covered end to end with naked redheads! And I want the stands packed with every man that remotely resembles my father! "
97,2,Auto_Erotic_Assimilation,[Trans. to a mountain being carved into the shape of Morty and Summer’s heads. Morty and Summer are being fanned and eating hamburgers]
98,2,Auto_Erotic_Assimilation,Morty: Look at ‘em go! So coordinated! What’s your problem? They’re making you into a Mount Rushmore! They made burgers!
99,2,Auto_Erotic_Assimilation,"Summer: Morty, open your eyes! There is no they! These poor people’s’ bodies are being used! They’re a planet of puppets! "
100,2,Auto_Erotic_Assimilation,Unity (Fan holder): I can hear you.
101,2,Auto_Erotic_Assimilation,Summer: Ugh!
102,2,Auto_Erotic_Assimilation,"Morty: Well, seems like everybody here’s cool with it. Except for all those redheads. They seem like they’re in a hurry to be somewhere else. "
103,2,Auto_Erotic_Assimilation,"Unity (Clown): Balloon, Summer? Balloon, Morty?"
104,2,Auto_Erotic_Assimilation,"Summer: No, we don’t want your dumb balloons. We’re bored. Take us back to Rick."
105,2,Auto_Erotic_Assimilation,Unity (Clown): Now’s… not a good time.
106,2,Auto_Erotic_Assimilation,"[Trans. to Rick in a hang glider and Uncle Sam costume, flying towards a stadium]"
107,2,Auto_Erotic_Assimilation,Rick: Oh yeah! I want youuuuuu!
108,2,Auto_Erotic_Assimilation,Unity (Stadium): Go son go! Go son go! Go son go! 
109,2,Auto_Erotic_Assimilation,"[Trans. to Earth: Jerry and Beth are looking down the hatch, which is open]"
110,2,Auto_Erotic_Assimilation,Jerry: Oh! Real nice! Real nice! How does a man do this without me noticing?
111,2,Auto_Erotic_Assimilation,"Beth: Oh, you know my dad. Once he puts his mind to something…"
112,2,Auto_Erotic_Assimilation,Jerry: You’re spinning this to his credit?
