SentenceID,Season,Episode,Sentence
1,2,Big_Trouble_in_Little_Sanchez,Jerry: WHAT'S NEW AT SCHOOL?
2,2,Big_Trouble_in_Little_Sanchez,"Summer: NOTHING,"
3,2,Big_Trouble_in_Little_Sanchez,"Morty: NOTHING! OH, UH, ONE
OF THE LUNCH LADIES DIED,
THEY FOUND HER IN THE GYM WITH,
LIKE, TWO HOLES IN HER NECK
AND ALL THE BLOOD DRAINED
OUT OF HER,"
4,2,Big_Trouble_in_Little_Sanchez,"Beth: GOOD LORD! WHO DOES
SOMETHING LIKE THAT?"
5,2,Big_Trouble_in_Little_Sanchez,"Rick: OBVIOUSLY A VAMPIRE,
W-W-WHERE'S THE PEPPER?"
6,2,Big_Trouble_in_Little_Sanchez,"Summer: WAIT, WHAT?!
VAMPIRES ARE REAL?!"
7,2,Big_Trouble_in_Little_Sanchez,"Rick: YES, SUMMER, VAMPIRES
ARE REAL, WHO KNEW?
OH, RIGHT, ALL HUMANITY,
FOR HUNDREDS OF YEARS, NOW,"
8,2,Big_Trouble_in_Little_Sanchez,"Morty: YEAH, SUMMER,
IT'S A BIG UNIVERSE,
GET USED TO IT,
R-RIGHT, RICK?"
9,2,Big_Trouble_in_Little_Sanchez,"Summer: WELL, WHAT ARE WE
GOING TO DO?!"
10,2,Big_Trouble_in_Little_Sanchez,"Rick: WE'RE GONNA LIVE OUR LIVES
UNTIL WE DIE,
POSSIBLY BY VAMPIRE,
MORE LIKELY AUTO ACCIDENT
OR HEART DISEASE,
BUT POSSIBLY VAMPIRE,"
11,2,Big_Trouble_in_Little_Sanchez,"Summer: GRANDPA RICK, COULDN'T YOU,
LIKE, USE YOUR SUPERKNOWLEDGE
TO TURN YOURSELF INTO A TEENAGER
AND COME TO OUR SCHOOL
AND HELP US HUNT
THE VAMPIRE DOWN?"
12,2,Big_Trouble_in_Little_Sanchez,"Morty: UM -- WOW,"
13,2,Big_Trouble_in_Little_Sanchez,"Rick: YEAH, PRETTY SPECIFIC
PITCH, SUMMER,
I PROBABLY <i>COULD</i>
TURN MYSELF INTO A TEENAGER
AND HANG OUT IN THE
ZIT-COVERED, HORMONE-ADDLED,
LOW-STAKES ASSWORLD
THAT IS HIGH SCHOOL,
BUT HERE'S MY REVERSE-ASK --
WHY IN THE [BLEEP]
WOULD I EVER DO THAT, EVER?
AND HOW DARE YOU
EVEN ASK ME THAT?
AND WHY AREN'T YOU MORE
ASHAMED OF YOURSELF?"
14,2,Big_Trouble_in_Little_Sanchez,Summer: DAD!
15,2,Big_Trouble_in_Little_Sanchez,"Jerry: BE ASHAMED OF YOURSELF,
SWEETIE,"
16,2,Big_Trouble_in_Little_Sanchez,"Beth: JERRY! DO YOU KNOW WHAT YOU
JUST SAID TO OUR DAUGHTER?"
17,2,Big_Trouble_in_Little_Sanchez,"Jerry: SOR-RY! I WASN'T
PAYING ATTENTION,"
18,2,Big_Trouble_in_Little_Sanchez,"Beth: TO A CONVERSATION
ABOUT VAMPIRES?!"
19,2,Big_Trouble_in_Little_Sanchez,"Jerry: CLEARLY, I DIDN'T KNOW
IT WAS ABOUT VAMPIRES,
BECAUSE I WASN'T
PAYING ATTENTION,
WHICH <i>YOU</i> WOULD KNOW,
IF <i>YOU</i> EVER
PAID ATTENTION TO <i>ME!</i>"
20,2,Big_Trouble_in_Little_Sanchez,"Beth: OH, HERE WE GO,
RIGHT TO THE VICTIM ROLE,"
21,2,Big_Trouble_in_Little_Sanchez,"Jerry: AM I A VICTIM, BETH,
OR AM I MARRIED
TO A MEAN, UNFAIR MONSTER
THAT ALWAYS HURTS ME?!"
22,2,Big_Trouble_in_Little_Sanchez,"Rick: JESUS CHRIST!
WILL YOU FIX YOUR MARRIAGE
OR GET A DIVORCE ALREADY?"
23,2,Big_Trouble_in_Little_Sanchez,"Jerry: WELL, WE TRIED
A COUPLES' THERAPIST,"
