SentenceID,Season,Episode,Sentence
1,1,Get_Schwifty,"This is a transcript of the Rick and Morty season 2 episode Get Schwifty.
"
2,1,Get_Schwifty,"(A giant yellow head flies through space toward Earth. The Earth catches fire and land masses start collapsing as the wind picks up.)
"
3,1,Get_Schwifty,"(A man takes a golf swing in the middle of the storm. A large piece of land drops out in front of him, leaving a large hole.)
"
4,1,Get_Schwifty,"Man: Hey, golf is easy now!
"
5,1,Get_Schwifty,"(The hole gets larger and the man falls in.)
"
6,1,Get_Schwifty,"Man: Aahh! Golf is hard again! Golf is hard agaaaaaaain!
"
7,1,Get_Schwifty,"(A news anchor in a raincoat, Terry, is downtown with people panicking in the background as the giant head stares blankly at Earth. A news title says “ArmagHEADdon?!”.)
"
8,1,Get_Schwifty,"Terry: The view here is the same as yours, Jim. A giant head has entered Earth’s gravity, triggering climate change and natural disasters we thought were impossible for at least another eight years.
"
9,1,Get_Schwifty,"Jim: (in news studio) Let’s not make this political, Terry. Do we know what this giant head wants?
"
10,1,Get_Schwifty,"(Giant Head clears its throat, creating a large wind blast)
"
11,1,Get_Schwifty,"Giant Head: SHOW ME WHAT YOU GOT.
"
12,1,Get_Schwifty,"(winds pick up and the tides change rapidly with its speech)
"
13,1,Get_Schwifty,"Terry: Jim, you heard *static* said, “Show me what you got.”
"
14,1,Get_Schwifty,"Giant Head: SHOW ME WHAT YOU GOT. I WANT TO SEE WHAT YOU GOT. (lamp post falls over, Terry runs out of frame)
"
15,1,Get_Schwifty,"(Rick turns off the TV, they are on the couch)
"
16,1,Get_Schwifty,"Rick: Oh boy. Time to go, Morty.
"
17,1,Get_Schwifty,"Morty: Uhh, where?
"
18,1,Get_Schwifty,"(Rick puts on sunglasses)
"
19,1,Get_Schwifty,"Rick: The Pentagon. I mean, not THE Pentagon. *burp* The lame one, here on Earth.
"
20,1,Get_Schwifty,"(Rick and Morty walk out of frame)
"
21,1,Get_Schwifty,"[INTRO]
"
22,1,Get_Schwifty,"(At the house, winds still blow strongly. Summer, Beth and Jerry are standing outside.)
"
23,1,Get_Schwifty,"Summer: Is it God? If it’s God, do we get out of school?
"
24,1,Get_Schwifty,"Beth: It’s not God, Summer.
"
25,1,Get_Schwifty,"Jerry: She’s allowed to think it’s God if she wants, honey!
"
26,1,Get_Schwifty,"Beth: Shut up, Jerry.
"
27,1,Get_Schwifty,"Jerry: Ok…
"
28,1,Get_Schwifty,"(Rick and Morty pull out of the garage in the ship.)
"
29,1,Get_Schwifty,"Beth: Dad, what do you know about this?
"
30,1,Get_Schwifty,"Rick: Morty and I are going to look into it. You guys hold tight.
"
31,1,Get_Schwifty,"(they fly off)
"
32,1,Get_Schwifty,"(Mr. Goldenfold arrives on a moped.)
"
33,1,Get_Schwifty,"Mr. Goldenfold: Scary stuff, huh? Pretty freaky. Hi, I’m Morty’s math teacher. I’m also part of the street team inviting folks to the church downtown so we can pray together.
"
34,1,Get_Schwifty,"Beth: How is praying going to help?
"
35,1,Get_Schwifty,"Mr. Goldenfold: Ma’am, a giant head in the sky is controlling the weather. Did you wanna play checkers? Let’s be rational! I’ll see you at God’s house! (leaves)
"
36,1,Get_Schwifty,"(Pentagon war room, everyone is arguing)
"
37,1,Get_Schwifty,"President: Gentlemen, gentlemen, one at a time! Simon?
"
38,1,Get_Schwifty,"Simon: SETI, NORAD, and every broadcaster on the planet are attempting to show this being what humanity’s got. String theory, world history, the human genome.
"
39,1,Get_Schwifty,"(Nathan slams fist on table)
"
40,1,Get_Schwifty,"Nathan: Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass!
"
41,1,Get_Schwifty,"(Argument begins again. A portal appears and Rick and Morty step through.)
"
42,1,Get_Schwifty,"Guards: Hold it! Don’t move! (they approach Rick and Morty with guns)
"
43,1,Get_Schwifty,"Rick: Stay back! This watch turns people into snakes!
"
44,1,Get_Schwifty,"(Guards stop and look at Nathan for approval. Nathan nods at them, and the guards aim. A laser fires at the guards and they disappear, leaving only snakes.)
"
45,1,Get_Schwifty,"President: Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery.
"
46,1,Get_Schwifty,"Rick: My name is Rick Sanchez. This here’s my grandson Morty. (drinks from flask)
"
47,1,Get_Schwifty,"Everyone: Hi, Morty.
"
48,1,Get_Schwifty,"Morty: Hey.
"
49,1,Get_Schwifty,"Rick: I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math. (points to viewscreen showing floating head) This head won’t go away until *burp* Earth shows them it’s got a hit song.
"
50,1,Get_Schwifty,"Everyone: Seriously, that’s impossible, etc…
"
51,1,Get_Schwifty,"Simon: You mean like Vivaldi?
"
52,1,Get_Schwifty,"Rick: No, Frasier. A live performance of a newly-written, catchy, original song. The Cromulon feed on the talent and showmanship of less-evolved lifeforms.
"
53,1,Get_Schwifty,"President: All right, all right. Thank you, Mr. Sanchez. Change of plan, people. Get me Pharrell, Randy Newman, Billy Corgan, and The-Dream. (no one responds) The-Dream? He wrote “Umbrella” and “Single Ladies”? You people haven’t heard of The-Dream?
"
54,1,Get_Schwifty,"Rick: You’re gonna wanna put them on that giant speaker system at your sonic testing facility at Area 51.
"
55,1,Get_Schwifty,"Nathan: How do you know about that?
"
56,1,Get_Schwifty,"President: For God’s sake, Nathan, the man turns people into snakes. He can use Google Maps.
"
57,1,Get_Schwifty,"Aide: Sir! Pharrell, Newman, Corgan, and that Dream guy. They’re all dead.
"
58,1,Get_Schwifty,"President: What? How is that possible? Do people just die when I name them?
"
