SentenceID,Season,Episode,Sentence
1,1,Interdimensional_Cable_2:_Tempting_Fate,"This article is a transcript of the Rick and Morty episode Interdimensional Cable 2: Tempting Fate from Season 2.
"
2,1,Interdimensional_Cable_2:_Tempting_Fate,"Rick: Don't worry about Jerry. he's gonna be fine.You here me Jerry? You're gonna be fine!
"
3,1,Interdimensional_Cable_2:_Tempting_Fate,"(Jerry pukes.)
"
4,1,Interdimensional_Cable_2:_Tempting_Fate,"Morty: Woahh!
"
5,1,Interdimensional_Cable_2:_Tempting_Fate,"Rick: ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth.
"
6,1,Interdimensional_Cable_2:_Tempting_Fate,"Beth: Why would you keep mutant bacteria in a pint of Cherry Garcia?
"
7,1,Interdimensional_Cable_2:_Tempting_Fate,"Rick: i know this isn't the time, but, you know, technically the second freezer drawer in mine.
"
8,1,Interdimensional_Cable_2:_Tempting_Fate,"Beth: Not anymore.
"
9,1,Interdimensional_Cable_2:_Tempting_Fate,"Rick: You're overreacting!
"
10,1,Interdimensional_Cable_2:_Tempting_Fate,"Alien Nurse: We're losing him.
"
11,1,Interdimensional_Cable_2:_Tempting_Fate,"Rick: Alright fine, but you're not touching my CRISPR.
"
12,1,Interdimensional_Cable_2:_Tempting_Fate,"Summer: Is he going to die?
"
13,1,Interdimensional_Cable_2:_Tempting_Fate,"Alien Nurse: Don't worry. Dr. Glipglop is the best in the galaxy
"
14,1,Interdimensional_Cable_2:_Tempting_Fate,"Dr. Glipglop: Hello, I'm Dr. Glipglop.
"
15,1,Interdimensional_Cable_2:_Tempting_Fate,"(Jerry pukes a projectile of bile directly at Dr. Glipglop. Dr. Glipglop breaks out into a murderous rage. Rick then disintegrates Dr. Glipglop )
"
16,1,Interdimensional_Cable_2:_Tempting_Fate,"Rick: What? Every hospital claims to have the best doctor in the gal(Belch)axy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest?
"
17,1,Interdimensional_Cable_2:_Tempting_Fate,"Beth: Go in the waiting room, Dad.
"
