SentenceID,Season,Episode,Sentence
1,2,Look_Who%27s_Purging_Now,"Morty:I GOT TO TELL YOU, RICK,
IT'S PRETTY GREAT
TO BE IN THIS SPACESHIP,
JUST THE TWO OF US, YOU KNOW?
JUST CRUISING AROUND,
RICK AND MORTY STYLE,"
2,2,Look_Who%27s_Purging_Now,"Rick:I AGREE, MORTY,
[ BELCHES ]
IT'S NICE TO GET
BACK TO THE BASICS
AFTER A PRETTY INTENSE,
MIXED-BAG OF A YEAR,"
3,2,Look_Who%27s_Purging_Now,Morty: OHH!
4,2,Look_Who%27s_Purging_Now,"Rick: RELAX,
THAT'S WHAT WINDSHIELDS
ARE FOR,"
5,2,Look_Who%27s_Purging_Now,"Rick: I DIDN'T KNOW THAT THERE WERE
BUGS OUT IN SPACE,"
6,2,Look_Who%27s_Purging_Now,"Morty: WELL, W-WHAT DID YOU THINK,
MORTY?
LIFE JUST DEVELOPED
ON EARTH BY ITSELF?
HERE, LET ME
TAKE CARE OF THIS,"
7,2,Look_Who%27s_Purging_Now,"Morty: GEEZ, RICK,
THAT'S DISGUSTING,
I DON'T WANT
TO LOOK AT THAT,"
8,2,Look_Who%27s_Purging_Now,"Rick: YEAH, GUESS
I'M OUT OF FLUID,
L-LET ME FIND
A PLACE TO STOP,
HEY, MUCHACHO, DOES YOUR PLANET
HAVE WIPER FLUID YET,
OR ARE YOU GONNA FREAK OUT
AND START WORSHIPPING US?"
9,2,Look_Who%27s_Purging_Now,"Villager: THE GENERAL STORE
OUGHT TO HAVE WHAT YOU NEED,"
10,2,Look_Who%27s_Purging_Now,"Rick: THANKS,"
11,2,Look_Who%27s_Purging_Now,"Villager: OF COURSE, YOU'LL BE WANTING
TO BE GONE FROM HERE BY SUNDOWN,"
12,2,Look_Who%27s_Purging_Now,"Rick: YEAH, SURE THING,
WAIT A MINUTE, WHAT? WHY?"
13,2,Look_Who%27s_Purging_Now,"Villager: SUNDOWN IS WHEN
THE FESTIVAL BEGINS,"
14,2,Look_Who%27s_Purging_Now,Morty: THE FESTIVAL?
15,2,Look_Who%27s_Purging_Now,"Villager: OOH, WELL, FOR MILLENNIA,
OUR SOCIETY HAS BEEN FREE
OF CRIME AND WAR,
LIVING IN PERFECT PEACE,"
16,2,Look_Who%27s_Purging_Now,"Rick: OH, I KNOW WHAT THIS IS!
YOU'VE BEEN ABLE
TO SUSTAIN WORLD PEACE
BECAUSE YOU HAVE ONE NIGHT
A YEAR WHERE YOU ALL RUN AROUND
ROBBING AND MURDERING EACH OTHER
WITHOUT CONSEQUENCE,"
17,2,Look_Who%27s_Purging_Now,"Villager: THAT'S RIGHT,"
18,2,Look_Who%27s_Purging_Now,Morty: WHAT?!
19,2,Look_Who%27s_Purging_Now,"Rick: IT'S LIKE ""THE PURGE,"" MORTY,
THAT MOVIE ""THE PURGE""?"
20,2,Look_Who%27s_Purging_Now,"Villager: OH, HAVE YOU
BEEN HERE BEFORE?"
21,2,Look_Who%27s_Purging_Now,"Rick: NO, NO, BUT I'VE BEEN TO A FEW
PLANETS WITH THE SAME GIMMICK,
YOU KNOW, SOMETIMES IT'S CALLED
THE CLEANSING OR THE RED TIME,
THERE WAS THIS ONE WORLD THAT
CALLED IT JUST MURDER NIGHT,
I-IT'S A PURGE PLANET,
THEY'RE PEACEFUL, AND THEN,
YOU KNOW, THEY JUST PURGE,"
22,2,Look_Who%27s_Purging_Now,Morty: T-THAT'S HORRIBLE!
23,2,Look_Who%27s_Purging_Now,"Rick: YEAH,
YOU WANT TO CHECK IT OUT?"
24,2,Look_Who%27s_Purging_Now,[ ELECTRICITY CRACKLING ]
25,2,Look_Who%27s_Purging_Now,"Rick: SO, WHAT DO YOU DO
DURING THE FESTIVAL?
YOU LOCK YOURSELF IN,
OR YOU GO OUT AND DO SOME STUFF?"
26,2,Look_Who%27s_Purging_Now,"Shopkeeper: OH, I DO
SOME PRETTY BAD STUFF,"
27,2,Look_Who%27s_Purging_Now,"Rick: OH, I BET YOU DO, OLD TIMER,
[ LAUGHS ]"
28,2,Look_Who%27s_Purging_Now,"Morty: GEE-- RICK, COME ON,
THE SUN IS SETTING,
W-WE GOT TO
GET OUT OF HERE,"
29,2,Look_Who%27s_Purging_Now,"Rick: ALL RIGHT, WELL, W-WHAT DO I
OWE YOU FOR THE WIPER FLUID?"
30,2,Look_Who%27s_Purging_Now,"Shopkeeper: OH IT'S ON THE HOUSE,
OH, AND, UH,
WHY -- WHY DON'T YOU HAVE
SOME CANDY BARS, AS WELL?"
31,2,Look_Who%27s_Purging_Now,"Rick: OH, NO WAY,
THAT'S REALLY NICE OF YOU,"
32,2,Look_Who%27s_Purging_Now,"Shopkeeper: I'M A NICE GUY...
FOR NOW,
[ Chuckling ]"
33,2,Look_Who%27s_Purging_Now,"Rick: OHH, I DON'T DOUBT IT,"
34,2,Look_Who%27s_Purging_Now,Morty: RICK!
35,2,Look_Who%27s_Purging_Now,"Rick: YEAH, YEAH,
HEY, HAVE A GOOD FESTIVAL,
OLD TIMER,"
36,2,Look_Who%27s_Purging_Now,"Shopkeeper: I INTEND TO,"
37,2,Look_Who%27s_Purging_Now,"Morty: RICK, UNLOCK IT!"
38,2,Look_Who%27s_Purging_Now,"Rick: JUST A SECOND, MORTY,
OH, LOOK AT THAT SUNSET,"
39,2,Look_Who%27s_Purging_Now,"Morty: STOP SCREWING AROUND,"
40,2,Look_Who%27s_Purging_Now,[ CLICK ]
41,2,Look_Who%27s_Purging_Now,"Rick: THERE WE GO, MUCH BETTER,
NOW WE CAN SEE,"
42,2,Look_Who%27s_Purging_Now,"Morty: GREAT,"
43,2,Look_Who%27s_Purging_Now,"Rick: HEY, YOU KNOW WHAT, MORTY?
WHY DON'T WE CHRISTEN OUR
SQUEAKY-CLEAN WINDSHIELD HERE
BY WATCHING A LITTLE
OF THIS PURGE THROUGH IT?"
44,2,Look_Who%27s_Purging_Now,"Morty: WHAT?! NO!
WHAT IS YOUR PROBLEM?!"
45,2,Look_Who%27s_Purging_Now,"Rick: MORTY, GROW UP,
IF YOU DON'T WANT TO WATCH,
DON'T WATCH,
BUT, YOU KNOW, IT'S MY CAR,
[ BELCHES ] ALSO, IF YOU TELL
YOUR MOM ABOUT THIS,
-I'LL PURGE YOU,"
46,2,Look_Who%27s_Purging_Now,"Morty: YOU'RE THE WORST,
AND THIS PLANET IS THE WORST,
HOW CAN YOU BE INTO THIS?
YOU KNOW, PEOPLE ARE GONNA
KILL EACH OTHER,"
47,2,Look_Who%27s_Purging_Now,"Rick: SO, WHAT, Y-Y-YOU TRYING
TO SIT HERE AND TELL ME THAT
[BELCHES] I-IF -- IF THERE'S
A VIDEO ONLINE
WITH SOMEONE GETTING
DECAPITATED,
-YOU DON'T CLICK ON IT?"
48,2,Look_Who%27s_Purging_Now,"Morty: NO!
WHY -- WHY WOULD I DO THAT?
<i>YOU</i> DO THAT?"
49,2,Look_Who%27s_Purging_Now,"Rick: I DON'T,
BECAUSE IT WOULD BORE ME,
I SEE [BLEEP] LIKE THAT
FOR BREAKFAST, MORTY,
BUT IF YOU DON'T DO IT,
I SAY IT'S BECAUSE
YOU'RE AFRAID OF YOUR OWN
PRIMAL INSTINCTS,
SO YOU STUFF THEM DOWN AND --"
50,2,Look_Who%27s_Purging_Now,[ BELL CHIMING ]
51,2,Look_Who%27s_Purging_Now,"Rick: OH, OH!
Shh, Shh, IT'S STARTING,
-OH-HO-HO! HERE WE GO,"
52,2,Look_Who%27s_Purging_Now,"Morty: I'M NOT WATCHING,"
53,2,Look_Who%27s_Purging_Now,"Rick: YEAH, YEAH, YEAH,
YOUR MEDAL'S IN THE MAIL,
-I'M GONNA GET A CLOSER LOOK,
Morty: OH, OKAY, SURE,
AND THEN SOMEONE'S
GONNA THROW A ROCK
AND HIT THE CAR
AND THEN WE'RE GONNA CRASH
AND WE'RE GONNA
BE STUCK DOWN THERE
AND IT'S GONNA BE
WHAT WE DESERVE,"
54,2,Look_Who%27s_Purging_Now,"Rick: YAWN,
WHOA!"
55,2,Look_Who%27s_Purging_Now,[ INDISTINCT SHOUTING ]
56,2,Look_Who%27s_Purging_Now,"Rick: WHOA, THEY ARE PURGING
THE [BLEEP] OUT OF EACH OTHER,"
57,2,Look_Who%27s_Purging_Now,[ MUFFLED SCREAMING ]
58,2,Look_Who%27s_Purging_Now,"Rick: OH, MY GOD!
OH [BLEEP]
THAT WAS --
OKAY, YEAH, T-THAT WAS GROSS,
WOW, MAN, I THINK MY EYES
WERE BIGGER THAN MY STOMACH
ON THIS ONE, MORTY,
UGH,
MY APPETITE FOR PURGE-SPECTATING
GOT FILLED PRETTY QUICK,
OH, GOD,
[ GRUNTS ]
[ RETCHING ]"
59,2,Look_Who%27s_Purging_Now,"Arthrisha: [ WOMAN SCREAMING ]
GET AWAY FROM ME!
NO! NO! HELP!
SOMEBODY HELP ME! AAH!"
60,2,Look_Who%27s_Purging_Now,"Rick: ALL RIGHT, MORTY,
L-LET'S GET OUT OF HERE,"
61,2,Look_Who%27s_Purging_Now,"Morty: WAIT, WAIT, WAIT, HOLD ON,
W-WE HAVE TO GO DOWN THERE,"
62,2,Look_Who%27s_Purging_Now,"Rick: [ Belching ]
WHAT? WHY?
THAT POOR GIRL,
W-WE HAVE TO SAVE HER,
UH, MORTY, IN SPACE,
WE HAVE SOMETHING WE CALL
THE NON-INTERFERENCE POLICY,
WE GOT THE WIPER FLUID,
WE WATCHED THEM KILL EACH OTHER,
WE'RE LEAVING,"
63,2,Look_Who%27s_Purging_Now,"Morty: HELP ME SAVE THAT GIRL, OR I'M
TELLING MOM YOU BROUGHT ME HERE,"
64,2,Look_Who%27s_Purging_Now,"Rick: YOU LITTLE TURD,"
65,2,Look_Who%27s_Purging_Now,"Arthrisha: [ SCREAMING ]
PLEASE! LEAVE ME ALONE!"
66,2,Look_Who%27s_Purging_Now,"Purger: LEAVE YOU ALONE?
DURING A PURGE?
I DON'T THINK SO, BABY,"
67,2,Look_Who%27s_Purging_Now,"Morty: IT'S OKAY,
WE'RE NOT GONNA HURT YOU,
MY NAME IS MORTY,
THIS IS MY GRANDPA,
WE'RE TOURISTS,
Rick: NOT ANYMORE,"
68,2,Look_Who%27s_Purging_Now,"-AAH!
-AAH!"
69,2,Look_Who%27s_Purging_Now,"Rick: OH, MY GOD,
THIS IS [BLEEP] AWESOME!
MORTY, THIS IS REALLY COOL,
HEY, Y-YOU WANT TO HELP ME OUT
HERE AND KILL SOME PEOPLE?
IT'S FUN,
WE'RE TOTALLY JUSTIFIED
BECAUSE WE'RE SAVING
A LITTLE GIRL,
I MEAN, W-W-WE'RE BOTH FREE AND
CLEAR TO MURDER THESE PEOPLE,"
70,2,Look_Who%27s_Purging_Now,"Morty: ARE YOU OKAY?
Arthrisha: YES,
I HAVE TO FIND
SOMEWHERE TO HIDE,"
71,2,Look_Who%27s_Purging_Now,"Morty: WELL, YOU CAN HIDE WITH US,
RICK?"
72,2,Look_Who%27s_Purging_Now,Rick: YEAH?
73,2,Look_Who%27s_Purging_Now,"Morty: DO YOU THINK WE COULD TAKE --
W-WHAT'S YOUR NAME?"
74,2,Look_Who%27s_Purging_Now,"Arthrisha: ARTHRISHA,"
75,2,Look_Who%27s_Purging_Now,"Morty: COULD WE TAKE ARTHRISHA
UP IN THE SHIP
AND, YOU KNOW,
JUST WAIT OUT THE PURGE?"
76,2,Look_Who%27s_Purging_Now,"Rick: OH, MORTY, HOW CAN I REFUSE
AFTER ALL YOU'VE DONE
TO BLACKMAIL ME?"
77,2,Look_Who%27s_Purging_Now,"Arthrisha: YOUR VEHICLE --
IS IT FROM THE GODS?"
78,2,Look_Who%27s_Purging_Now,"Morty: NO,"
79,2,Look_Who%27s_Purging_Now,"Rick: YES,"
80,2,Look_Who%27s_Purging_Now,"Morty: SO, UH, YOU KNOW,
WHEN THE PURGE STARTED,
DID PEOPLE GET INTO IT
RIGHT AWAY,
OR WERE THEY LIKE,
""WAIT, WHAT?
THIS IS GONNA STOP CRIME
HOW, EXACTLY?"""
81,2,Look_Who%27s_Purging_Now,"Arthrisha: YEAH, IT TOOK SOME TIME
FOR PEOPLE TO ACCEPT IT,"
