SentenceID,Season,Episode,Sentence
1,2,Total_Rickall,"This article is a transcript of the Rick and Morty episode Total Rickall. It is the fourth episode of Season 2 and it aired on August 16, 2015.
"
2,2,Total_Rickall,"(Smith family is eating, Jerry checks his mail)
"
3,2,Total_Rickall,"Jerry: Steve, I just got a weird E-mail. Did you buy us airline tickets?
"
4,2,Total_Rickall,"Uncle Steve: Aw shoot, it was supposed to be a surprise! I wanted to thank you for letting me live here all this time, so I'm treating the family to a vacation!
"
5,2,Total_Rickall,"Beth: Steve, you're so sweet!
"
6,2,Total_Rickall,"Morty: Thanks Uncle Steve!
"
7,2,Total_Rickall,"Summer: Best uncle ever!
"
8,2,Total_Rickall,"Uncle Steve: Look out world, the Smith family is goin' to Paris!
"
9,2,Total_Rickall,"Summer:(Offscreen) Yeah! Awesome!
"
10,2,Total_Rickall,"(Rick enters the room, and dumps some very familiar-looking rocks into the kitchen trash)
"
11,2,Total_Rickall,"Jerry: Rick, I don't like glowing rocks in the kitchen trash.
"
12,2,Total_Rickall,"Rick: Well I don't like your unemployed genes in my grandchildren, Jerry. But life is made of little concessions.
"
13,2,Total_Rickall,"Jerry: I, you know what, I-
"
14,2,Total_Rickall,"Uncle Steve: You're gonna land on your feet Jer. Some company out there's gonna think they're lucky stars they hired my little brother.
"
15,2,Total_Rickall,"Rick: Who the fuck are you?
"
16,2,Total_Rickall,"Jerry: My goofy brother Steve. He's been living here almost a year now, are you losing your mind?
"
17,2,Total_Rickall,"Uncle Steve: Hey someone's been spending too much time around glowing rocks am I right? (Everybody except Rick laughs, Rick shoots Steve in the head)
"
18,2,Total_Rickall,"All except Rick: *unintelegable screaming*
"
19,2,Total_Rickall,"Morty: What the hell, Rick? What the hell?
"
20,2,Total_Rickall,"Rick: Everybody just relax for a second. There's no such thing as an ""Uncle Steve"". That is an alien parasite.
"
21,2,Total_Rickall,"(Uncle Steve turns back into his true form and dies)
"
22,2,Total_Rickall,"Jerry: But I've known him my whole life!
"
23,2,Total_Rickall,"Rick: No you haven't Jerry. These telepathic little bastards, they embed themselves in memories they use those to multiply, spread out, and take over planets. It's disgusting.
"
24,2,Total_Rickall,"Morty: Steve wasn't real?
"
25,2,Total_Rickall,"Rick: He's a real piece of shit! This is a big one, someone probably tracked in last week on the bottom of their shoe or on a piece of alien fruit.
"
26,2,Total_Rickall,"Summer: Someone?
"
27,2,Total_Rickall,"Rick: Get off the high road Summer, we all got pink eye because you won't stop texting on the toilet.
"
28,2,Total_Rickall,"Morty: But Uncle Steve taught me how to ride a bike.
"
