SentenceID,Season,Episode,Sentence
1,3,Pickle_Rick,"
[Open on Morty combing his hair in the bathroom mirror. He is wearing an orange sweater vest, a yellow dress shirt, and an olive tie.]"
2,3,Pickle_Rick,"Pickle Rick: (offscreen, in the distance) Morty."
3,3,Pickle_Rick,Morty: Rick?
4,3,Pickle_Rick,"[Morty stops combing, looks around, then continues combing] "
5,3,Pickle_Rick,"Pickle Rick: (offscreen, in the distance) Morty! "
6,3,Pickle_Rick,Morty: Rick?
7,3,Pickle_Rick,"Pickle Rick: (offscreen, in the distance) Hey, Mooorty!"
8,3,Pickle_Rick,"Morty: Rick? Are you far away, or are you inside something? "
9,3,Pickle_Rick,[Morty opens a cabinet beneath the bathroom sink]
10,3,Pickle_Rick,Morty: Is this a camera?
11,3,Pickle_Rick,[Morty tries to look inside his comb for a camera]
12,3,Pickle_Rick,Morty: Is everything a camera?
13,3,Pickle_Rick,[Morty nervously glances around]
14,3,Pickle_Rick,"Pickle Rick: (offscreen, in the distance) Morty, the garage, Morty. Come to the garage!"
15,3,Pickle_Rick,[Transition to Morty entering the garage. There is a pickle and a screwdriver on Rick's work bench] 
16,3,Pickle_Rick,Pickle Rick: Morty?
17,3,Pickle_Rick,Morty: Rick? W-where are you?
18,3,Pickle_Rick,"Pickle Rick: On my work bench, Morty."
19,3,Pickle_Rick,"Morty: Are you invisible and you're gonna, like, fart on me?"
20,3,Pickle_Rick,Pickle Rick: Flip the pickle over.
21,3,Pickle_Rick,"Morty: What, I'm gonna touch it, and you're gonna tell me it's an alien dick or something."
22,3,Pickle_Rick,"Pickle Rick: Come on, flip the pickle, Morty. You're not gonna regret it. The payoff is huge."
23,3,Pickle_Rick,[Morty hesitantly picks up the screwdriver and turns the pickle over. The pickle has Rick's face on it] 
24,3,Pickle_Rick,"Pickle Rick: I turned myself into a pickle, Morty! Boom! Big reveal- I'm a pickle. What do you think about that? I turned myself into a pickle! W-what are you just staring at me for, bro. I turned myself into a pickle, Morty! "
25,3,Pickle_Rick,Morty: And? 
26,3,Pickle_Rick,"Pickle Rick: ""And""? What more do you want tacked on to this? I turned myself into a pickle, and 9/11 was an inside job?"
27,3,Pickle_Rick,Morty: Was it?
28,3,Pickle_Rick,"Pickle Rick: Who cares, Morty? Global acts of terrorism happen every day. Uh, here's something that's never happened before - I'm a pickle. I'm Pickle Rick!"
29,3,Pickle_Rick,"Morty: Are you going to, I mean, you know, is this the first part of some magic trick? "
30,3,Pickle_Rick,"Pickle Rick: I don't do magic, Morty, I do science. One takes brains, the other takes dark eye liner."
31,3,Pickle_Rick,"Morty: Well, can you move? Can you fly? "
32,3,Pickle_Rick,Pickle Rick: I wouldn't be much of a pickle if I could.
33,3,Pickle_Rick,"Morty: All right, well, do pickles live forever or -- "
34,3,Pickle_Rick,"Pickle Rick: Morty, stop digging for hidden layers and just be impressed. I'm a pickle."
35,3,Pickle_Rick,Morty: I-I'm just trying to figure out why you would do this. Why anyone would do this.
36,3,Pickle_Rick,"Pickle Rick: The reason anyone would do this is, if they could, which they can't, would be because they could, which they can't."
37,3,Pickle_Rick,"[Beth and Summer enter the garage from the house. Beth is wearing a midi mahogany pencil dress while Summer is wearing a shorter pink dress with a hot pink jacket, along with black stockings and black heels]"
38,3,Pickle_Rick,"Beth: Morty, we have to get going, or we're gonna be late. Where's your grandpa? "
39,3,Pickle_Rick,"Pickle Rick: Right here, sweetie. I'm a pickle! "
40,3,Pickle_Rick,"Beth: What?! Why would you -- Look, we're running late. We have to go."
41,3,Pickle_Rick,Pickle Rick: Where are you guys going?
42,3,Pickle_Rick,"Beth: We have an appointment downtown that was set a week ago and agreed upon by everyone, including you."
43,3,Pickle_Rick,"Pickle Rick: Oh, my God. Beth, oh, it totally slipped my mind. Geez, oh, man. I'm a pickle. I mean, I don't know if I can, ooh, geez."
44,3,Pickle_Rick,"Morty: Rick, did you do this on purpose to get out of family counseling?"
45,3,Pickle_Rick,Beth: Morty!
46,3,Pickle_Rick,"Pickle Rick: It's okay, Beth. I understand Morty's suspicion. I've misled him before. Morty, turn me so we're making eye contact."
47,3,Pickle_Rick,[Morty turns Pickle Rick's face so that it is facing him]
48,3,Pickle_Rick,"Pickle Rick: Morty, I assure you, I would never ""find a way"" to ""get out of"" family therapy. I hope my lack of fingers doesn't prevent the perception of my air quotes."
49,3,Pickle_Rick,Summer: Can't you just turn yourself back into a human?
50,3,Pickle_Rick,"Pickle Rick: Great question, Summer. The unfortunate answer is I did this to challenge myself. And it could take hours or even days before I'm able to figure out how to return to human form. But, I mean, you know, your mom could put me in a purse or a pocket, you know, if she really needs me to go."
51,3,Pickle_Rick,"Beth: Nobody needs anything! Okay, it's fine. I mean, you should just stay here and figure out how to stop being a pickle, okay? "
52,3,Pickle_Rick,"Morty: Hey, Rick, why is there a syringe of mysterious fluid hanging directly over you? Also, why is the string attached to it running through a pair of scissors attached to a timer? And why is the time set to 10 minutes from now, exactly when we would have left for therapy? "
53,3,Pickle_Rick,"Pickle Rick: Well, Morty, if you know must know, the syringe is completely unrelated to this discussion, and, therefore, it does not warrant further explanation."
54,3,Pickle_Rick,[Beth cuts off the syringe and takes it]
55,3,Pickle_Rick,"Beth: Enough. Kids, it's time to go. We don't want to be late."
56,3,Pickle_Rick,[Beth puts the syringe in her purse]
57,3,Pickle_Rick,"Pickle Rick: W-w-what are you doing there, Beth? What are you doing there, sweetie? "
58,3,Pickle_Rick,"Beth: Well, I mean, you don't want to get pierced by a needle full of liquid unrelated to your situation. How's that gonna help?"
59,3,Pickle_Rick,Pickle Rick: Can't argue with that.
60,3,Pickle_Rick,Beth: Great. We'll see you later.
61,3,Pickle_Rick,"[Beth, Summer, and Morty enter the car.]"
62,3,Pickle_Rick,"Pickle Rick: Hey, hey, be careful with that. It's for something else. It's really important, so don't break it."
63,3,Pickle_Rick,[Beth drives away with Summer and Morty. They all exit.]
64,3,Pickle_Rick,"Pickle Rick: Okay, I may have fucked up here. Dup, ap, ap, pap, ut, dah, pap, pap, pap, pah. T-t-tah, tah. [clicks tongue]"
65,3,Pickle_Rick,[Izzy walks in through the open garage door and jumps onto Rick's work bench. She sniffs around]
66,3,Pickle_Rick,"Pickle Rick: Oh, great. Stupid cat."
67,3,Pickle_Rick,[Izzy sniffs Pickle Rick and hisses]
68,3,Pickle_Rick,"Pickle Rick: Whoa, whoa, whoa, whoa! I know what it looks like to you, Izzy, but I'm not a snake! I've seen the YouTube videos, I know cats are scared of cucumbers and pickles because they think they're snakes. I'm not a snake! I'm a pickle, I'm a pickle!"
69,3,Pickle_Rick,"[Izzy bats at Pickle Rick and knocks him off of the work bench, causing him to roll down the driveway] "
70,3,Pickle_Rick,"Pickle Rick: Whoa! Oh! Whoa, whoa, whoa!"
71,3,Pickle_Rick,[Pickle Rick is directly facing the sky]
72,3,Pickle_Rick,"Pickle Rick: Oh, crap, that sun is bright."
73,3,Pickle_Rick,[Pickle Rick begins to sweat]
74,3,Pickle_Rick,"Pickle Rick: Okay, come on. This can't really be the way I go out. This is the mega-genius equivalent of dying on the toilet."
75,3,Pickle_Rick,[Pickle Rick starts to shrivel up]
76,3,Pickle_Rick,Pickle Rick: So... hot. This is how I'm gonna die.
77,3,Pickle_Rick,[Thunder can be heard and the shadow of a cloud appears overhead. It starts to rain. Pickle Rick stops shriveling]
78,3,Pickle_Rick,"Pickle Rick: Oh, God, moisture."
79,3,Pickle_Rick,[The rain gets heavy and it begins to flood]
80,3,Pickle_Rick,"Pickle Rick: Oh, God, the moisture! Dial it back, God! Dial it back a little bit here!"
81,3,Pickle_Rick,[Pickle Rick starts rolling down the road]
82,3,Pickle_Rick,Pickle Rick: Oh! Oh!
83,3,Pickle_Rick,[Pickle Rick rolls towards a sewer grate]
84,3,Pickle_Rick,"Pickle Rick: Oh, God! Perpendicular, perpendicular!"
85,3,Pickle_Rick,[Pickle Rick rolls into the sewer grate and falls into the sewer] 
86,3,Pickle_Rick,"Pickle Rick: Oh, shiiit! Oh! Oh! Oh! "
87,3,Pickle_Rick,[Pickle Rick hits many pipes before eventually falling onto a solid surface. There are bugs crawling around. One bug walks up to a pile of dirt. Pickle Rick bites his lip and pickle juice comes out. The bug turns around]
88,3,Pickle_Rick,Pickle Rick: Come on. That's it.
89,3,Pickle_Rick,[The bug walks towards Pickle Rick]
90,3,Pickle_Rick,Pickle Rick: Come get this delicious brine.
91,3,Pickle_Rick,[The bug is in front of Pickle Rick. Pickle Rick bites on his head and squeezes it until the bug dies.]
92,3,Pickle_Rick,"Pickle Rick: Aah! Come on! Come on, mother[bleep]! Come on!"
93,3,Pickle_Rick,"[Pickle Rick licks off the top of the bug's head, revealing its brain. He then licks part of the brain and the bug's leg moves. He rolls onto the bug and licks its brain, moving its legs forward and moving him forward with it]"
94,3,Pickle_Rick,Pickle Rick: Yes!
95,3,Pickle_Rick,"[Transition to Beth, Summer, and Morty sitting in a waiting room outside of Dr. Wong's therapy office. Beth is reading a magazine, while Summer sits with her head resting on her fist. The door to her office reads: ""Dr. WONG / FAMILY THERAPY / COPROPHRAGIA RECOVERY"". There is a motivational picture of a man eating a hot dog which reads ""COURAGE"" underneath it.]"
96,3,Pickle_Rick,Summer: How is this even family therapy if Dad's not invited and Grandpa won't come?
97,3,Pickle_Rick,"Morty: Yeah, and what's courageous about eating a hot dog?"
98,3,Pickle_Rick,"Beth: It's nobody's choice to be here, you knobs. The family was told to get counseling by your principal, even though it's not the family that was huffing pottery glaze in the art room and desk wetting in history class."
99,3,Pickle_Rick,[Mr. Goldenfold enters through Dr. Wong's door.]
100,3,Pickle_Rick,"Mr. Goldenfold: Oh, the Smith family, minus a dad. You're patients of Dr. Wong, too? "
101,3,Pickle_Rick,Beth: Temporarily. By order of the school.
102,3,Pickle_Rick,Mr. Goldenfold: Me too. How long have you all been eating poop? 
103,3,Pickle_Rick,Summer: We... have never... eaten poop.
104,3,Pickle_Rick,"Mr. Goldenfold: Uh, me, neither. Say, where did my family get off to?"
105,3,Pickle_Rick,[Mr. Goldenfold exits. Dr. Wong opens her door and enters the waiting room]
106,3,Pickle_Rick,"Dr. Wong: Smith family, I'm Dr. Wong. Come on in."
107,3,Pickle_Rick,"[Beth, Summer, and Morty exit the waiting room and enter Dr. Wong's office. Dr. Wong flips the motivational image over to another motivational image of a nuclear family which reads ""DEDICATION"". Transition to Beth, Morty, Summer, and Dr. Wong sitting down in Dr. Wong's office.]"
108,3,Pickle_Rick,Dr. Wong: I was told there was a grandpa that might be joining us?
109,3,Pickle_Rick,"Beth: He got wrapped up in an experiment. He's a scientist. Like, legit, like on an inter-galactic, sci-fi level. His work is very -- "
110,3,Pickle_Rick,Morty: He turned himself into a pickle.
111,3,Pickle_Rick,"Beth: Morty, Mom's talking. I'm sorry, I suppose that's a good segue into our little discipline cases here."
112,3,Pickle_Rick,Dr. Wong: Does Grandpa turn himself into a pickle a lot?
113,3,Pickle_Rick,"Beth: What? No, what kind of question is that?"
114,3,Pickle_Rick,Dr. Wong: The kind that wasn't designed to attack or hurt you in any way.
115,3,Pickle_Rick,"Beth: Oh, Jesus Christ, one of these. No, my father has never turned himself into a pickle before. He's unpredictable and eccentric. The whole family is. Speaking of which..."
116,3,Pickle_Rick,[Beth turns towards Summer and Morty]
117,3,Pickle_Rick,"Dr. Wong: Okay, let's open things up to the whole family, and let me ask this. Why do we think Grandpa turned himself into a pickle?"
118,3,Pickle_Rick,"[Beth rolls her eyes. Transition to Pickle Rick, who has attached the bug's limbs to his pickle body and has managed to use them to move. He is looking through a grate, and is rubbing the end of one of the bug arms against one of the bars]"
119,3,Pickle_Rick,Pickle Rick: Wow. Ugh.
120,3,Pickle_Rick,"[A rat appears behind the grate and starts scratching at Pickle Rick, screeching]"
121,3,Pickle_Rick,"Pickle Rick: Hey, listen, I know this is your world not mine. The sooner I can get out, the sooner I can go back to taking big craps, and you can go back to subsisting on them."
122,3,Pickle_Rick,[The rat breaks open one of the bars and continues to scratch. Pickle Rick starts to walk backwards.]
123,3,Pickle_Rick,Pickle Rick: You are one driven rat. Could you be a little more driven? To the right.
124,3,Pickle_Rick,"[Pickle Rick scratches at a rope which is attached to a bug's arms which is holding a razor that it lets go of which is propelled upwards which breaks a rubber band which is tied to a sharp broken bottle which falls on the rat's head and chops it off, killing the rat]"
125,3,Pickle_Rick,[Pickle Rick picks up the rat's head]
126,3,Pickle_Rick,"Pickle Rick: Yes, yes, yes! Come on, come on, come on! Fresh, fresh, fresh!"
127,3,Pickle_Rick,"[A mischief of rats appears behind the bars, also scratching at Pickle Rick, who is not in their range.]"
128,3,Pickle_Rick,"Pickle Rick: Whoa, whoa, whoa, was this your friend? Don't worry, he died doing what he loved, being a dumb [bleep]ing rat."
129,3,Pickle_Rick,"[Pickle Rick puts the rat's head onto a bottle cap which starts a machine which lifts him up and takes off his bug limbs. The machine then splits open the rat head and rips out its brain, then puts Pickle Rick down and begins nailing the rat's body parts to Pickle Rick's pickle body. It then sticks a needle into the brain which connects it to the limbs. Pickle Rick runs towards the rats and begins killing them.]"
130,3,Pickle_Rick,"Pickle Rick: Oh, yeah! Aaaah!"
131,3,Pickle_Rick,[He takes out a machines on his wrists which are loaded with screws. He kills some of the rats. The screws disappear and x-acto blade pop out. He kills more rats. Transition to Dr. Wong's office.]
132,3,Pickle_Rick,"Beth: I didn't say my father is perfect, I said his work is important."
133,3,Pickle_Rick,Summer: And she's saying what's important is that Grandpa lied to you to get out of coming here.
134,3,Pickle_Rick,"Beth: Oh, he did not! "
135,3,Pickle_Rick,Dr. Wong: Let's do an experiment here. I get the impression this family values science. So raise your hand if you feel certain you know what was in the syringe.
136,3,Pickle_Rick,[No one raises their hand.]
137,3,Pickle_Rick,Dr. Wong: Raise your hand if you know for certain the syringe does not contain anti-pickle serum.
138,3,Pickle_Rick,[Beth begins to raise her hand but stops herself.]
139,3,Pickle_Rick,"Dr. Wong: Beth, your hand did a little thing there."
140,3,Pickle_Rick,Beth: Do you really not see what's happening here?
141,3,Pickle_Rick,Dr. Wong: Tell me.
