SentenceID,Season,Episode,Sentence
1,3,Rickmancing_the_Stone,"<p>[Rick, Morty, and Summer all fall out of a portal into the garage]"
2,3,Rickmancing_the_Stone,"
<b><a class=""mw-redirect"" href=""/wiki/Morty"" title=""Morty"">Morty</a></b>: <a class=""mw-redirect"" href=""/wiki/Summer"" title=""Summer"">Summer</a>, next time we're hiding in a Colorkian echo nest, can you do me a favor and turn your ringer off?"
3,3,Rickmancing_the_Stone,"
<b>Summer</b>: It's called ""carpe diem"", Morty. Look it up."
4,3,Rickmancing_the_Stone,"
<b>Morty</b>: <i>You</i> look it up! Y-Y-You don't even-You don't even know what it means!"
5,3,Rickmancing_the_Stone,"
<b>Summer</b>: That's because losers look stuff up while the rest of us are carpin' all them diems."
6,3,Rickmancing_the_Stone,"
[Summer hi-fives Rick]"
7,3,Rickmancing_the_Stone,"
<b>Rick</b>: Listen to your sister, Morty. To live is to risk it all. Otherwise, you're just an inert chunk of randomly assembled molecules drifting wherever the universe blows you. Oh, I'm sorry, Jerry, I didn't see you there. H-How much of that did you hear? "
8,3,Rickmancing_the_Stone,"
<b>Jerry</b>: All of it. You were looking right at me. I just wanted to say goodbye to the kids."
9,3,Rickmancing_the_Stone,"
<b>Rick</b>: Cool. Just stay in the driveway. The killbots are live, and I took you off the whitelist."
10,3,Rickmancing_the_Stone,"
[Rick begins using a screwdriver on a gun]"
11,3,Rickmancing_the_Stone,"
<b>Morty</b>: W-We'll see you every other weekend, though, right?"
12,3,Rickmancing_the_Stone,"
<b>Rick</b>: Absolutely, Morty. A-And your mom's lawyer says if I can get enough in the settlement, he can help me sue for full custody."
13,3,Rickmancing_the_Stone,"
<b>Morty</b>: Th-That'll be nice. Uh, Summer, Dad's leaving!"
14,3,Rickmancing_the_Stone,"
<b>Summer</b>: Bye, Dad. Rick, didn't you say you needed my help on an adventure immediately somewhere else I don't care even if it might kill us?"
15,3,Rickmancing_the_Stone,"
<b>Rick</b>: I did not, but if you're really that alienated, I'm as willing to exploit it as the next guy, church, army, or Olympic gymnastics trainer."
16,3,Rickmancing_the_Stone,"
[Rick shoots open a portal in the ground]"
17,3,Rickmancing_the_Stone,"
<b>Summer</b>: I'm ready when you a--"
18,3,Rickmancing_the_Stone,"
[Summer jumps into the portal and exits]"
19,3,Rickmancing_the_Stone,"
<b>Rick</b>: Bitch, I was ready yest--"
20,3,Rickmancing_the_Stone,"
[Rick jumps into the portal and exits]"
21,3,Rickmancing_the_Stone,"
<b>Jerry</b>: Bye, sweetie."
22,3,Rickmancing_the_Stone,"
<b>Morty</b>: Well, I-I better--"
23,3,Rickmancing_the_Stone,"
<b>Jerry:</b> Sure. Sounds important."
24,3,Rickmancing_the_Stone,"
[Morty jumps into the portal and exits]"
25,3,Rickmancing_the_Stone,"
[Beth enters the garage]"
26,3,Rickmancing_the_Stone,"
If you're looking for our kids, your father did a-a portal, uh--"
27,3,Rickmancing_the_Stone,"
<b>Beth:</b> Okay."
28,3,Rickmancing_the_Stone,"
[Beth exits. Jerry begins to walk out of the garage but stops. Some leaves blow in the wind]"
29,3,Rickmancing_the_Stone,"
<b>Wind: (faint)</b> Loser..."
30,3,Rickmancing_the_Stone,"
<b>Jerry</b>: What? Hello?"
31,3,Rickmancing_the_Stone,"
[Transition to Rick driving Summer and Morty in a turquoise car through the desert, being chased by other cars]"
32,3,Rickmancing_the_Stone,"
<b>Rick:</b> Morty, shoot the mohawk guy!"
33,3,Rickmancing_the_Stone,"
<b>Morty:</b> They all have mohawks!"
34,3,Rickmancing_the_Stone,"
<b>Rick:</b> High fade, chartreuse with cyan highlights, layered on top. Shoot him! "
35,3,Rickmancing_the_Stone,"
[Morty loads a shotgun and shoots at the vehicle behind them, but misses, while <a href=""/wiki/Mohawk_Guy"" title=""Mohawk Guy"">Mohawk Guy</a> jumps onto the back of their car]"
36,3,Rickmancing_the_Stone,"
<b>Mohawk Guy:</b> Ah!"
37,3,Rickmancing_the_Stone,"
Death Stalker #1: Light them up."
38,3,Rickmancing_the_Stone,"
<b>Mohawk Guy:</b> Ahh!"
39,3,Rickmancing_the_Stone,"
[Mohawk Guy presses a button and self-destructs]"
