SentenceID,Season,Episode,Sentence
1,3,The_Rickshank_Rickdemption,"<p><b><a class=""mw-redirect"" href=""/wiki/Rick"" title=""Rick"">Rick</a>:</b> Anyway, that's how I escaped from space prison! Oh, scary place."
2,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Morty"" title=""Morty"">Morty</a>:</b> Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen."
3,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at <a href=""/wiki/Shoney%27s"" title=""Shoney's"">Shoney's</a>? "
4,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Beth"" title=""Beth"">Beth</a>:</b> Dad, it's great to have you back, no matter where we are, but wouldn't you like to go home?"
5,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Emotionally speaking, honey, Shoney's is my home."
6,3,The_Rickshank_Rickdemption,"
<b><a class=""mw-redirect"" href=""/wiki/Jerry"" title=""Jerry"">Jerry</a>:</b> Yeah, but you just got out of prison. I mean, how much of a step up from that is -- "
7,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Jerry, get out of the booth, take all your clothes off, and fold yourself 12 times."
8,3,The_Rickshank_Rickdemption,"
<b>Jerry:</b> You got it. [ Grunting ] "
9,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Six folds, huh? W-W-What, have you guys got me in a <a href=""/wiki/Series_9000_Brainalyzer"" title=""Series 9000 Brainalyzer"">Series 9000</a>? You cheap insect [bleep] didn't think I was worth your best equipment?"
10,3,The_Rickshank_Rickdemption,"
<b><a href=""/wiki/Cornvelious_Daniel"" title=""Cornvelious Daniel"">Cornvelious Daniel</a>:</b> [ Chuckles ] Man, I told the money bugs. I said, ""You know who this guy is, right? You want me to get intel out of the smartest mammal in the galaxy, you better give me a decent brainalyzer."
11,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain."
12,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> Oh, I think you do. Eventually, you're either gonna relax your cerebellum."
13,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Shoney's."
14,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> Or the Series 9000 is going to turn it into mush."
15,3,The_Rickshank_Rickdemption,"
 [ Farts ]"
16,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> Relaxed enough? [ Chuckles ]"
17,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> I admire you, Rick--"
18,3,The_Rickshank_Rickdemption,"
 [ Farts ] "
19,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> [ Laughs ] "
20,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> When I-- [ Farts ] "
21,3,The_Rickshank_Rickdemption,"
<b>Rick:</b> [ Laughs ] "
22,3,The_Rickshank_Rickdemption,"
<b>Cornvelious Daniel:</b> Rick, here's-- [ Farts ]"
