word,char_count,corpus_count,term_freq,inv_doc_freq,tfidf
0,oh,56,451,0.024550635686102586,59.175166297117514,0.10017891717524091
1,grandpa,53,81,0.023235423060061378,329.48148148148147,0.13470783339577372
2,god,41,148,0.01797457255589654,180.32432432432432,0.09337353717105161
3,rick,40,457,0.017536168347216132,58.39824945295405,0.0713246105087991
4,dad,35,124,0.015344147303814117,215.2258064516129,0.08242396794580022
5,yeah,32,246,0.014028934677772907,108.48780487804878,0.06574853512285644
6,like,29,268,0.012713722051731697,99.58208955223881,0.05849561044050017
7,morty,24,697,0.01052170100832968,38.28981348637016,0.03835353505723402
8,going,21,99,0.00920648838228847,269.57575757575756,0.05152732948509494
9,go,20,211,0.008768084173608066,126.48341232227489,0.04243850216293211
10,know,18,417,0.00789127575624726,64.0,0.03281889324878303
11,get,18,262,0.00789127575624726,101.86259541984732,0.03648629830125067
12,okay,17,175,0.007452871547566856,152.50285714285715,0.03746695161376339
13,mom,17,47,0.007452871547566856,567.8297872340426,0.047264782533372664
14,want,14,136,0.006137658921525646,196.23529411764707,0.03240263124590701
15,well,14,186,0.006137658921525646,143.48387096774192,0.03048098064017265
16,us,13,105,0.005699254712845244,254.17142857142858,0.03156252363656833
17,love,13,72,0.005699254712845244,370.6666666666667,0.03371281956153066
18,right,13,235,0.005699254712845244,113.56595744680851,0.02697106062393077
19,back,13,117,0.005699254712845244,228.10256410256412,0.030945786854313605
20,come,12,131,0.00526085050416484,203.72519083969465,0.02797074256180967
21,yes,12,66,0.00526085050416484,404.3636363636364,0.031577279595609194
22,gonna,12,237,0.00526085050416484,112.60759493670886,0.02485177990718111
23,make,11,84,0.004822446295484437,317.7142857142857,0.027782848561800418
24,help,11,70,0.004822446295484437,381.25714285714287,0.028662084477948383
25,look,11,119,0.004822446295484437,224.2689075630252,0.026103158234334234
26,top,11,26,0.004822446295484437,1026.4615384615386,0.0334382290392402
27,guys,11,88,0.004822446295484437,303.27272727272725,0.027558508284736053
28,something,10,87,0.004384042086804033,306.7586206896552,0.02510329323324809
29,think,10,144,0.004384042086804033,185.33333333333334,0.02289415171233
30,ca,9,88,0.00394563787812363,303.27272727272725,0.022547870414784045
31,need,9,70,0.00394563787812363,381.25714285714287,0.02345079639104868
32,got,9,205,0.00394563787812363,130.18536585365854,0.01921115034378807
33,would,9,97,0.00394563787812363,275.1340206185567,0.022163667224855684
34,much,9,42,0.00394563787812363,635.4285714285714,0.025466329321295902
35,let,8,124,0.0035072336694432268,215.2258064516129,0.018839764101897194
36,people,8,75,0.0035072336694432268,355.84,0.020603178225768216
37,family,8,59,0.0035072336694432268,452.33898305084745,0.021444741293302077
38,cool,8,49,0.0035072336694432268,544.6530612244898,0.02209609472002752
39,time,8,148,0.0035072336694432268,180.32432432432432,0.018219226765083238
40,head,7,24,0.003068829460762823,1112.0,0.021524510444398813
41,hey,7,168,0.003068829460762823,158.85714285714286,0.01555284405098049
42,drum,7,7,0.003068829460762823,3812.5714285714284,0.0253057492734424
43,sorry,7,45,0.003068829460762823,593.0666666666667,0.019595417671072805
44,really,7,116,0.003068829460762823,230.06896551724137,0.016689458044000332
45,ugh,7,31,0.003068829460762823,860.9032258064516,0.020739094565854137
46,take,7,110,0.003068829460762823,242.61818181818182,0.016852443040579746
47,unity,7,28,0.003068829460762823,953.1428571428571,0.021051448296748307
48,ooh,7,37,0.003068829460762823,721.2972972972973,0.02019612439614193
49,old,6,37,0.00263042525208242,721.2972972972973,0.017310963768121655
50,feel,6,36,0.00263042525208242,741.3333333333334,0.017383034721707224
51,school,6,37,0.00263042525208242,721.2972972972973,0.017310963768121655
52,talking,6,36,0.00263042525208242,741.3333333333334,0.017383034721707224
53,home,6,53,0.00263042525208242,503.54716981132077,0.01636565732119163
54,one,6,151,0.00263042525208242,176.74172185430464,0.013611633849215824
55,earth,6,37,0.00263042525208242,721.2972972972973,0.017310963768121655
56,fact,6,16,0.00263042525208242,1668.0,0.019516126040119312
57,see,6,85,0.00263042525208242,313.9764705882353,0.015123151377469946
58,wait,6,80,0.00263042525208242,333.6,0.015282619913593842
59,could,6,104,0.00263042525208242,256.61538461538464,0.014592490327094521
60,mr,6,8,0.00263042525208242,3336.0,0.021339397887273924
61,needful,6,7,0.00263042525208242,3812.5714285714284,0.021690642234379203
62,say,6,83,0.00263042525208242,321.5421686746988,0.015185783509062365
63,never,6,59,0.00263042525208242,452.33898305084745,0.016083555969976557
64,even,6,52,0.00263042525208242,513.2307692307693,0.016415762174249136
65,everyone,6,22,0.00263042525208242,1213.090909090909,0.018678457304165254
66,care,6,27,0.00263042525208242,988.4444444444445,0.018139760909655793
67,pants,6,18,0.00263042525208242,1482.6666666666667,0.01920630656886184
68,bleep,6,91,0.00263042525208242,293.27472527472526,0.014943734674199799
69,maybe,5,53,0.0021920210434020165,503.54716981132077,0.013638047767659691
70,parents,5,31,0.0021920210434020165,860.9032258064516,0.014813638975610097
71,way,5,60,0.0021920210434020165,444.8,0.01336612175128534
72,awesome,5,10,0.0021920210434020165,2668.8,0.017293696212548067
73,saying,5,35,0.0021920210434020165,762.5142857142857,0.01454761342321144
74,little,5,101,0.0021920210434020165,264.23762376237624,0.012224569899862371
75,away,5,31,0.0021920210434020165,860.9032258064516,0.014813638975610097
76,totally,5,15,0.0021920210434020165,1779.2,0.016404908163209695
77,human,5,23,0.0021920210434020165,1160.3478260869565,0.0154679418878328
78,happening,5,11,0.0021920210434020165,2426.181818181818,0.017084774292766555
79,aah,5,21,0.0021920210434020165,1270.857142857143,0.015667353940015453
80,place,5,47,0.0021920210434020165,567.8297872340426,0.013901406627462547
81,slave,5,5,0.0021920210434020165,5337.6,0.018813089418510242
82,means,5,23,0.0021920210434020165,1160.3478260869565,0.0154679418878328
83,anything,5,45,0.0021920210434020165,593.0666666666667,0.013996726907909146
84,fine,5,42,0.0021920210434020165,635.4285714285714,0.014147960734053276
85,real,5,70,0.0021920210434020165,381.25714285714287,0.013028220217249264
86,stop,5,62,0.0021920210434020165,430.4516129032258,0.01329424576964792
87,nothing,5,28,0.0021920210434020165,953.1428571428571,0.015036748783391646
88,kill,5,34,0.0021920210434020165,784.9411764705883,0.014611154714034002
89,give,5,53,0.0021920210434020165,503.54716981132077,0.013638047767659691
90,good,5,102,0.0021920210434020165,261.6470588235294,0.012202973458733455
91,bye,5,8,0.0021920210434020165,3336.0,0.01778283157272827
92,party,5,25,0.0021920210434020165,1067.52,0.015285167646405683
93,mean,5,117,0.0021920210434020165,228.10256410256412,0.011902225713197538
94,tiny,5,29,0.0021920210434020165,920.2758620689655,0.014959827871924592
95,put,5,66,0.0021920210434020165,404.3636363636364,0.01315719983150383
96,trying,4,28,0.0017536168347216134,953.1428571428571,0.012029399026713319
97,man,4,107,0.0017536168347216134,249.42056074766356,0.00967845764260687
